page|141
||本集团|
|附注四|2021年度|2020年度
一、营业收入|||
利息收入|37|213,536|201,007
利息支出|37|(93,200)|(87,537)
利息净收入|37|120,336|113,470
手续费及佣金收入|38|40,190|39,476
手续费及佣金支出|38|(7,128)|(9,815)
手续费及佣金净收入|38|33,062|29,661
投资收益|39|12,243|9,921
其中：以摊余成本计量的金融资产终止确认产|||
生的收益||95|621
公允价值变动损益|40|2,080|(614)
汇兑损益|41|1,320|762
其他业务收入|42|105|111
资产处置损益||12|57
其他收益||225|174
营业收入合计||169,383|153,542
二、营业支出|||
税金及附加|43|(1,644)|(1,525)
业务及管理费|44|(47,937)|(44,690)
营业支出合计||(49,581)|(46,215)
三、减值损失前营业利润||119,802|107,327
信用减值损失|45|(72,619)|(69,611)
其他资产减值损失||(1,198)|(807)
四、营业利润||45,985|36,909
加：营业外收入||158|77
减：营业外支出||(264)|(232)
五、利润总额||45,879|36,754
减：所得税费用|46|(9,543)|(7,826)
六、净利润||36,336|28,928
(一)  持续经营净利润||36,336|28,928
(二)  终止经营净利润||-|-
page|142
|附注四|2021年度|2020年度
七、其他综合收益的税后净额|47||
(一)  不能重分类进损益的其他综合收益|||
其他权益工具投资公允价值变动||45|(476)
(二)  将重分类进损益的其他综合收益|||
1.以公允价值计量且其变动计入其他综合|||
收益的金融资产的公允价值变动||1,119|(1,524)
2.以公允价值计量且其变动计入其他综合收益|||
的金融资产的信用损失准备||363|(66)
3.现金流量套期储备||(209)|209
4.外币财务报表折算差额||5|5
小计||1,278|(1,376)
其他综合收益合计||1,323|(1,852)
八、综合收益总额||37,659|27,076
九、每股收益|||
基本每股收益(人民币元)||1.73|1.40
|48||
||1.73|1.40
稀释每股收益(人民币元)|48||
