page|96
项目|附注（五）|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||837,267,043.75|639,524,861.38
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,359,677.90|3,785,716.38
收到其他与经营活动有关的现金||122,815,973.33|61,630,062.01
经营活动现金流入小计||962,442,694.98|704,940,639.77
购买商品、接受劳务支付的现金||623,219,534.92|435,034,720.66
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
page|97
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||81,666,867.96|73,844,201.30
支付的各项税费||20,549,102.12|26,885,935.86
支付其他与经营活动有关的现金||135,807,005.27|99,404,737.45
经营活动现金流出小计||861,242,510.27|635,169,595.27
经营活动产生的现金流量净额||101,200,184.71|69,771,044.50
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||309,480.29|512,070.83
处置固定资产、无形资产和其他长期资产收回的现金净额||449,680.00|12,506.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||40,000,000.00|91,500,000.00
投资活动现金流入小计||40,759,160.29|92,024,576.83
购建固定资产、无形资产和其他长期资产支付的现金||51,771,927.93|146,550,122.35
投资支付的现金||5,700,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||40,000,000.00|91,500,000.00
投资活动现金流出小计||97,471,927.93|238,050,122.35
投资活动产生的现金流量净额||-56,712,767.64|-146,025,545.52
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||30,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||195,054,041.92|99,006,129.68
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||195,054,041.92|129,006,129.68
偿还债务支付的现金||181,063,005.37|65,381,567.10
分配股利、利润或偿付利息支付的现金||8,931,489.19|8,984,158.05
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||524,283.26
筹资活动现金流出小计||189,994,494.56|74,890,008.41
page|98
筹资活动产生的现金流量净额||5,059,547.36|54,116,121.27
四、汇率变动对现金及现金等价物的影响||2,546.15|-7,465.71
五、现金及现金等价物净增加额||49,549,510.58|-22,145,845.46
加：期初现金及现金等价物余额||188,691,587.65|210,837,433.11
六、期末现金及现金等价物余额||238,241,098.23|188,691,587.65
