page|129
项目|附注七|2021 年度|2020 年度
一、营业总收入||15,121,167,406|16,033,898,624
其中：营业收入|42|15,121,167,406|16,033,898,624
二、营业总成本||-13,615,410,439|-13,736,980,217
其中：营业成本|42|-10,019,418,812|-10,066,659,450
税金及附加|43|-116,396,054|-112,010,083
销售费用|44|-1,050,331,762|-1,107,752,296
管理费用|45|-813,021,020|-760,727,754
研发费用|46|-1,690,047,967|-1,686,836,761
财务费用|47|73,805,176|-2,993,873
其中：利息费用|47|-21,068,951|-16,017,904
利息收入|47|95,501,635|42,523,801
加：其他收益|48|533,085,368|577,466,089
投资收益（损失以“－”号填列）|49|33,608,925|43,181,140
其中：对联营企业和合营企业的投资收益||-18,083,858|-43,830,286
以摊余成本计量的金融资产终止确认收益||-9,102,199|-6,210,943
公允价值变动收益（损失以“－”号填列）|50|71,130,766|2,327,307
信用减值损失（损失以“-”号填列）|51|121,825,631|85,645,821
资产减值损失（损失以“-”号填列）|52|-161,869,899|-234,409,991
资产处置收益（损失以“－”号填列）|53|-2,072,439|6,440,830
三、营业利润（亏损以“－”号填列）||2,101,465,319|2,777,569,603
加：营业外收入|54|24,630,560|65,923,604
减：营业外支出|55|-3,012,417|-6,554,910
四、利润总额（亏损总额以“－”号填列）||2,123,083,462|2,836,938,297
减：所得税费用|56|-88,476,513|-340,381,369
五、净利润（净亏损以“－”号填列）||2,034,606,949|2,496,556,928
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,034,606,949|2,496,556,928
2.终止经营净利润（净亏损以“－”号填列）||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,017,694,796|2,475,454,606
2.少数股东损益（净亏损以“-”号填列）||16,912,153|21,102,322
六、其他综合收益的税后净额||-56,257,300|-11,880,700
（一）归属母公司所有者的其他综合收益的税后净额||-55,745,898|-12,022,602
1．不能重分类进损益的其他综合收益|||
2．将重分类进损益的其他综合收益||-55,745,898|-12,022,602
（1）其他债权投资公允价值变动|38|-32,632,221|24,780,341
page|130
（2）外币财务报表折算差额|38|-23,113,677|-36,802,943
（二）归属于少数股东的其他综合收益的税后净额||-511,402|141,902
七、综合收益总额||1,978,349,649|2,484,676,228
（一）归属于母公司所有者的综合收益总额||1,961,948,898|2,463,432,004
（二）归属于少数股东的综合收益总额||16,400,751|21,244,224
八、每股收益：|||
（一）基本每股收益(元/股)||1.63|2.11
