page|132
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||16,485,788,328|18,573,079,049
收到的税费返还||127,056,987|175,893,721
收到其他与经营活动有关的现金|57(1)|1,037,720,409|1,197,340,522
经营活动现金流入小计||17,650,565,724|19,946,313,292
购买商品、接受劳务支付的现金||10,354,203,877|13,021,468,010
支付给职工及为职工支付的现金||2,372,644,345|2,147,770,241
支付的各项税费||1,193,066,783|1,159,623,895
支付其他与经营活动有关的现金|57(2)|1,580,396,061|1,870,102,689
经营活动现金流出小计||15,500,311,066|18,198,964,835
经营活动产生的现金流量净额|58(1)|2,150,254,658|1,747,348,457
二、投资活动产生的现金流量：|||
收回投资收到的现金||15,278,000,000|21,090,000,000
取得投资收益收到的现金||114,986,871|108,064,577
处置固定资产、无形资产和其他长期资产收回的现金净额||2,741,729|13,488,698
投资活动现金流入小计||15,395,728,600|21,211,553,275
购建固定资产、无形资产和其他长期资产支付的现金||974,003,215|1,855,160,516
投资支付的现金||20,435,467,700|19,986,117,550
投资活动现金流出小计||21,409,470,915|21,841,278,066
投资活动产生的现金流量净额||-6,013,742,315|-629,724,791
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||7,698,862,046|-
其中：子公司吸收少数股东投资收到的现金||255,650,000|-
取得借款收到的现金||265,136,226|277,125,244
筹资活动现金流入小计||7,963,998,272|277,125,244
偿还债务支付的现金||232,377,298|210,808,167
分配股利、利润或偿付利息支付的现金||673,386,564|552,348,653
其中：子公司支付给少数股东的股利、利润||13,390,661|17,679,410
支付其他与筹资活动有关的现金|57(3)|83,306,940|59,207,596
筹资活动现金流出小计||989,070,802|822,364,416
筹资活动产生的现金流量净额||6,974,927,470|-545,239,172
四、汇率变动对现金及现金等价物的影响||-12,269,246|-32,575,614
五、现金及现金等价物净增加额||3,099,170,567|539,808,880
加：期初现金及现金等价物余额||4,783,889,538|4,244,080,658
六、期末现金及现金等价物余额|58(2)|7,883,060,105|4,783,889,538
