page|84
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,278,046,059.02|3,022,029,576.23
收到的税费返还|||
收到其他与经营活动有关的现金|七、78|337,629,158.68|206,227,057.32
经营活动现金流入小计||3,615,675,217.70|3,228,256,633.55
购买商品、接受劳务支付的现金||1,097,391,427.74|914,251,669.32
支付给职工及为职工支付的现金||794,529,644.75|845,027,980.44
支付的各项税费||35,670,507.44|24,270,810.20
支付其他与经营活动有关的现金|七、78|498,755,850.53|630,537,856.28
经营活动现金流出小计||2,426,347,430.46|2,414,088,316.24
经营活动产生的现金流量净额||1,189,327,787.24|814,168,317.31
二、投资活动产生的现金流量：|||
收回投资收到的现金||10,312,496,559.22|11,231,104,000.00
取得投资收益收到的现金||69,800,606.76|78,383,114.58
处置固定资产、无形资产和其他长期资产收回的现金净额||20,307,972.00|4,396,313.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||10,402,605,137.98|11,313,883,427.58
购建固定资产、无形资产和其他长期资产支付的现金||354,278,927.88|237,913,160.99
page|85
投资支付的现金||9,939,190,000.00|10,472,000,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78|220,759.00|212,443.95
投资活动现金流出小计||10,293,689,686.88|10,710,125,604.94
投资活动产生的现金流量净额||108,915,451.10|603,757,822.64
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||675,518,365.42|710,769,991.52
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||675,518,365.42|710,769,991.52
筹资活动产生的现金流量净额||-675,518,365.42|-710,769,991.52
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||622,724,872.92|707,156,148.43
加：期初现金及现金等价物余额||1,020,129,252.92|312,973,104.49
六、期末现金及现金等价物余额||1,642,854,125.84|1,020,129,252.92
