page|99
项目|附注七|2019 年度|2018 年度
一、营业总收入||2,357,733,386.83|2,369,069,435.42
其中：营业收入|59|2,357,733,386.83|2,369,069,435.42
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,165,489,412.59|2,061,239,834.37
其中：营业成本|59|1,557,792,284.45|1,544,365,479.90
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|60|3,635,782.81|10,281,230.65
销售费用|61|63,998,631.02|56,488,841.82
管理费用|62|90,967,301.89|70,069,104.91
研发费用|63|461,745,366.70|376,293,125.88
财务费用|64|-12,649,954.28|3,742,051.21
其中：利息费用|||
page|100
利息收入||16,067,421.94|3,696,216.04
加：其他收益|65|12,602,943.79|13,388,331.29
投资收益（损失以“－”号填列）|66|-1,984,396.94|473,506.28
其中：对联营企业和合营企业的投资收益||-2,984,629.55|-539,877.28
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|68|3,927,013.69|
信用减值损失（损失以“-”号填列）|69|935,776.54|
资产减值损失（损失以“-”号填列）|70|-38,689,382.05|-24,265,373.42
资产处置收益（损失以“－”号填列）|71||-51,914.46
三、营业利润（亏损以“－”号填列）||169,035,929.27|297,374,150.74
加：营业外收入|72|355,555.26|696,427.14
减：营业外支出|73|268,462.81|2,093,343.22
四、利润总额（亏损总额以“－”号填列）||169,123,021.72|295,977,234.66
减：所得税费用|74|12,067,709.16|13,637,684.77
五、净利润（净亏损以“－”号填列）||157,055,312.56|282,339,549.89
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||157,055,312.56|282,339,549.89
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||158,041,814.36|282,530,860.94
2.少数股东损益（净亏损以“-”号填列）||-986,501.80|-191,311.05
六、其他综合收益的税后净额||5,686,917.88|4,515,792.57
（一）归属母公司所有者的其他综合收益的税后净额||5,686,917.88|4,515,792.57
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值|||
page|101
变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||5,686,917.88|4,515,792.57
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||5,686,917.88|4,515,792.57
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||162,742,230.44|286,855,342.46
（一）归属于母公司所有者的综合收益总额||163,728,732.24|287,046,653.51
（二）归属于少数股东的综合收益总额||-986,501.80|-191,311.05
八、每股收益：|||
（一）基本每股收益(元/股)||0.41|0.76
（二）稀释每股收益(元/股)||0.41|0.76
