page|103
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,445,516,309.01|2,300,868,529.79
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||91,199,454.30|118,165,221.79
收到其他与经营活动有关的现金|76(1)|64,760,138.94|42,465,849.24
经营活动现金流入小计||2,601,475,902.25|2,461,499,600.82
购买商品、接受劳务支付的现金||1,682,842,814.90|1,805,903,620.20
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
page|104
支付保单红利的现金|||
支付给职工及为职工支付的现金||399,083,919.35|292,352,069.85
支付的各项税费||37,625,094.24|53,669,400.97
支付其他与经营活动有关的现金|76(2)|141,311,254.82|124,433,695.69
经营活动现金流出小计||2,260,863,083.31|2,276,358,786.71
经营活动产生的现金流量净额||340,612,818.94|185,140,814.11
二、投资活动产生的现金流量：|||
收回投资收到的现金||839,286,000.00|155,000,000.00
取得投资收益收到的现金||3,611,778.69|1,013,383.56
处置固定资产、无形资产和其他长期资产收回的现金净额|||2,481.62
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|76(3)|2,000,000.00|
投资活动现金流入小计||844,897,778.69|156,015,865.18
购建固定资产、无形资产和其他长期资产支付的现金||175,990,512.30|368,143,319.57
投资支付的现金||2,493,834,000.00|95,200,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|76(4)||2,000,000.00
投资活动现金流出小计||2,669,824,512.30|465,343,319.57
投资活动产生的现金流量净额||-1,824,926,733.61|-309,327,454.39
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,519,457,600.00|4,578,750.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|76(5)||3,000,000.00
筹资活动现金流入小计||1,519,457,600.00|7,578,750.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|76(6)|7,896,813.96|5,360,922.80
筹资活动现金流出小计||7,896,813.96|5,360,922.80
筹资活动产生的现金流量净额||1,511,560,786.04|2,217,827.20
四、汇率变动对现金及现金等价||7,323,648.66|20,117,162.43
page|105
物的影响|||
五、现金及现金等价物净增加额||34,570,520.03|-101,851,650.65
加：期初现金及现金等价物余额||387,237,890.93|489,089,541.58
六、期末现金及现金等价物余额||421,808,410.96|387,237,890.93
