page|42
项目||||||附注||2019 年度||2018 年度|
一、营业总收入||||||||1,305,186,979.54||1,344,846,452.31|
其中 ：营业收入||||||||1,305,186,979.54||1,344,846,452.31|
||利息收入|||||||||
||已赚保费|||||||||
||手续费及佣金收入|||||||||
二、营业总成本||||||||1,248,350,486.47||1,242,505,987.80|
其中 ：营业成本||||||||962,944,912.20||980,112,768.25|
||利息支出|||||||||
||手续费及佣金支出|||||||||
||退保金|||||||||
||赔付支出净额|||||||||
||提取保险责任准备金净额|||||||||
||保单红利支出|||||||||
||分保费用|||||||||
||税金及附加||||||15,494,294.43||17,359,059.48|
||销售费用||||||64,106,073.50||67,854,941.84|
||管理费用||||||181,363,760.51||154,563,001.15|
||研发费用|||||||||
||财务费用||||||24,441,445.83||22,616,217.08|
||其中 ：利息费用||||||24,190,344.43||22,537,048.36|
||利息收入||||||1,390,851.95||1,494,249.62|
加 ：其他收益||||||||2,799,143.02|||
||投资收益（损失以“－”号填列）||||||3,102,327.99||640,893.15|
||其中 ：对联营企业和合营企业的投资收益|||||||||
||以摊余成本计量的金融资产终止确认收益|||||||||
||汇兑收益（损失以“－”号填列）|||||||||
||净敞口套期收益（损失以“-”号填列）|||||||||
||公允价值变动收益（损失以“－”号填列）|||||||||
||信用减值损失（损失以“-”号填列）||||||-14,221,275.76|||
||资产减值损失（损失以“-”号填列）||||||-632,912.47||-9,888,466.72|
||资产处置收益（损失以“－”号填列）|||||||||
三、营业利润（亏损以“－”号填列）||||||||47,883,775.85||93,092,890.94|
加 ：营业外收入||||||||12,384,165.18||4,001,964.80|
减 ：营业外支出||||||||4,731,935.56||5,420,729.68|
四、利润总额（亏损总额以“－”号填列）||||||||55,536,005.47||91,674,126.06|
减 ：所得税费用||||||||9,060,304.81||14,745,181.43|
五、净利润（净亏损以“－”号填列）||||||||46,475,700.66||76,928,944.63|
（一）按经营持续性分类|||||||||||
1. 持续经营净利润（净亏损以“－”号填列）||||||||46,475,700.66||76,928,944.63|
2. 终止经营净利润（净亏损以“－”号填列）|||||||||||
（二）按所有权归属分类|||||||||||
1. 归属于母公司股东的净利润（净亏损以“-”号填列）||||||||45,026,654.39||76,097,558.00|
2. 少数股东损益（净亏损以“-”号填列）||||||||1,449,046.27||831,386.63|
法定代表人 ：||主管会计工作负责人 ：|||||会计机构负责人 ：||||
