page|40
项目||||||附注||2019 年 12 月 31 日|||2018 年 12 月 31 日||
流动负债 ：|||||||||||||
短期借款||||||||71,896,464.11|||49,900,000.00||
向中央银行借款|||||||||||||
拆入资金|||||||||||||
交易性金融负债|||||||||||||
以公允价值计量且其变动计入当期损益的金融负债|||||||||||||
衍生金融负债|||||||||||||
应付票据||||||||112,628,811.98|||||
应付账款||||||||562,993,946.97|||462,978,261.35||
预收款项||||||||22,847,990.46|||22,223,987.44||
卖出回购金融资产款|||||||||||||
吸收存款及同业存放|||||||||||||
代理买卖证券款|||||||||||||
代理承销证券款|||||||||||||
应付职工薪酬||||||||63,105,529.30|||61,673,953.42||
应交税费||||||||9,466,571.74|||11,150,875.72||
其他应付款||||||||101,610,804.90|||92,891,258.55||
其中 ：应付利息||||||||0.00|||669,656.76||
应付股利||||||||1,867,736.78|||1,867,736.78||
应付手续费及佣金|||||||||||||
应付分保账款|||||||||||||
持有待售负债|||||||||||||
一年内到期的非流动负债||||||||59,683,356.40|||31,571,210.44||
其他流动负债|||||||||||||
流动负债合计||||||||1,004,233,475.86|||732,389,546.92||
非流动负债 ：|||||||||||||
保险合同准备金|||||||||||||
长期借款||||||||568,209,334.29|||386,000,000.00||
应付债券|||||||||||||
其中 ：优先股|||||||||||||
永续债|||||||||||||
租赁负债|||||||||||||
长期应付款||||||||2,100,000.00|||2,100,000.00||
长期应付职工薪酬|||||||||||||
预计负债|||||||||||2,144,474.95||
递延收益||||||||12,263,295.58|||10,217,572.07||
递延所得税负债|||||||||||||
其他非流动负债|||||||||||||
非流动负债合计||||||||582,572,629.87|||400,462,047.02||
负债合计||||||||1,586,806,105.73|||1,132,851,593.94||
所有者权益（或股东权益）：|||||||||||||
实收资本（或股本）||||||||215,411,610.00|||179,509,675.00||
其他权益工具|||||||||||||
其中 ：优先股|||||||||||||
永续债|||||||||||||
资本公积||||||||412,557,267.00|||448,481,655.89||
减 ：库存股|||||||||||||
其他综合收益|||||||||||||
专项储备|||||||||||||
盈余公积||||||||6,190,383.50|||2,543,320.40||
一般风险准备|||||||||||||
未分配利润||||||||422,633,395.94|||394,062,793.05||
归属于母公司所有者权益（或股东权益）合计||||||||1,056,792,656.44|||1,024,597,444.34||
少数股东权益||||||||1,851,885.18|||429,313.05||
所有者权益（或股东权益）合计||||||||1,058,644,541.62|||1,025,026,757.39||
负债和所有者权益（或股东权益）总计||||||||2,645,450,647.35|||2,157,878,351.33||
法定代表人 ：||||主管会计工作负责人 ：|||||会计机构负责人 ：||||
