page|86
编制单位：中国宝安集团股份限公司                                                            单位：人民币元|||
项                        目|注释|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||9,469,433,293.94|10,475,588,129.40
收取利息、手续费及佣金的现金||73,841,598.68|58,989,992.91
收到的税费返还||122,647,966.77|90,492,976.53
收到其他与经营活动有关的现金|六.66|400,043,481.51|441,172,040.30
经营活动现金流入小计||10,065,966,340.90|11,066,243,139.14
购买商品、接受劳务支付的现金||4,997,970,804.04|5,482,466,992.51
客户贷款及垫款净增加额||23,631,751.53|172,021,407.89
支付利息、手续费及佣金的现金||13,239,460.59|12,170,539.61
支付给职工以及为职工支付的现金||1,472,728,033.43|1,467,267,927.13
支付的各项税费||1,392,877,785.72|961,963,038.60
支付其他与经营活动有关的现金|六.66|1,510,376,335.69|1,632,625,663.29
经营活动现金流出小计||9,410,824,171.00|9,728,515,569.03
经营活动产生的现金流量净额||655,142,169.90|1,337,727,570.11
二、投资活动产生的现金流量：|||
收回投资收到的现金||8,663,783,858.49|2,945,204,994.61
取得投资收益收到的现金||9,540,023.09|7,411,913.35
处置固定资产、无形资产和其他长期资产收回的现金净额||23,260,826.54|27,737,180.55
处置子公司及其他营业单位收到的现金净额|六.67|546,676,582.37|87,900,383.32
收到其他与投资活动有关的现金|六.66|105,869,201.44|
投资活动现金流入小计||9,349,130,491.93|3,068,254,471.83
购建固定资产、无形资产和其他长期资产支付的现金||1,032,595,297.06|680,931,131.91
投资支付的现金||8,045,231,782.90|2,814,221,287.48
取得子公司及其他营业单位支付的现金净额|六.67|46,688,723.81|49,301,091.63
支付其他与投资活动有关的现金|||
投资活动现金流出小计||9,124,515,803.77|3,544,453,511.02
投资活动产生的现金流量净额||224,614,688.16|-476,199,039.19
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,692,173,375.00|151,825,000.00
其中：子公司吸收少数股东投资收到的现金||1,692,173,375.00|151,825,000.00
取得借款收到的现金||6,050,204,245.50|7,020,883,177.15
收到其他与筹资活动有关的现金|六.66|20,000,000.00|348,300.00
筹资活动现金流入小计||7,762,377,620.50|7,173,056,477.15
偿还债务支付的现金||6,474,507,562.84|6,383,012,151.21
分配股利、利润或偿付利息支付的现金||892,218,372.86|896,920,356.75
其中：子公司支付给少数股东的股利、利润||114,427,818.46|288,371,386.62
支付其他与筹资活动有关的现金|六.66|65,433,061.89|91,234,014.63
筹资活动现金流出小计||7,432,158,997.59|7,371,166,522.59
筹资活动产生的现金流量净额||330,218,622.91|-198,110,045.44
四、汇率变动对现金及现金等价物的影响||-54,374,505.26|17,571,315.63
五、现金及现金等价物净增加额||1,155,600,975.71|680,989,801.11
加：期初现金及现金等价物余额||5,240,493,961.68|4,559,504,160.57
六、期末现金及现金等价物余额||6,396,094,937.39|5,240,493,961.68
法定代表人：陈政立                   主管会计工作负责人：贺德华                    会计机构负责人：游仕旭|||
