page|85
编制单位：中国宝安集团股份限公司                                                            单位：人民币元|||
项           目|注释|本年金额|上年金额
一、营业总收入||10,663,512,791.62|12,004,379,217.06
其中：营业收入|六.49|10,593,850,771.90|11,948,727,206.58
利息收入|六.50|69,662,019.72|55,652,010.48
二、营业总成本||10,115,266,910.71|10,925,820,733.93
其中：营业成本|六.49|6,980,360,221.71|7,753,660,214.79
手续费及佣金支出|六.50|12,641,869.87|11,578,390.44
税金及附加|六.51|188,772,579.07|384,383,993.03
销售费用|六.52|1,179,197,636.75|1,163,458,557.03
管理费用|六.53|808,549,866.73|725,127,292.89
研发费用|六.54|435,825,763.09|400,788,674.37
财务费用|六.55|509,918,973.49|486,823,611.38
其中：利息费用||551,859,770.73|545,244,678.81
利息收入||97,724,064.89|83,618,267.18
加：其他收益|六.56|191,501,381.99|168,069,462.76
投资收益（损失以“－”号填列）|六.57|548,440,715.84|127,761,384.00
其中：对联营企业和合营企业的投资收益||-7,386,960.06|-8,496,457.64
以摊余成本计量的金融资产终止确认收益||-9,077,556.03|
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|六.58|510,294,065.07|257,816,439.17
信用减值损失（损失以“－”号填列）|六.59|-143,530,550.12|-252,316,760.45
资产减值损失  （损失以“－”号填列）|六.60|-256,108,768.93|-233,863,556.19
资产处置收益（损失以“－”号填列）|六.61|7,652,402.71|1,984,885.75
三、营业利润（亏损以“－”号填列）||1,406,495,127.47|1,148,010,338.17
加：营业外收入|六.62|41,924,702.14|28,882,553.28
减：营业外支出|六.63|25,417,491.24|12,602,676.40
四、利润总额（亏损总额以“－”号填列）||1,423,002,338.37|1,164,290,215.05
减：所得税费用|六.64|355,213,725.09|452,433,715.96
五、净利润（净亏损以“－”号填列）||1,067,788,613.28|711,856,499.09
（一）按经营持续性分类|||
1、持续经营净利润（净亏损以“－”号填列）||1,067,788,613.28|711,856,499.09
2、终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1、归属于母公司股东的净利润（净亏损以“－”号填列）||661,761,423.40|301,136,296.48
2、少数股东损益（净亏损以“－”号填列）||406,027,189.88|410,720,202.61
六、其他综合收益的税后净额||-27,869,351.51|-77,739,259.71
（一）归属母公司股东的其他综合收益的税后净额||-21,505,388.65|-39,253,173.10
1、不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
（5）其他|||
2、将重分类进损益的其他综合收益|六.65|-21,505,388.65|-39,253,173.10
（1）权益法下可转损益的其他综合收益||-757,786.52|-712,777.17
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-20,885,934.33|-38,277,002.40
（7）其他||138,332.20|-263,393.53
（二）归属于少数股东的其他综合收益的税后净额||-6,363,962.86|-38,486,086.61
七、综合收益总额||1,039,919,261.77|634,117,239.38
（一）归属于母公司股东的综合收益总额||640,256,034.75|261,883,123.38
（二）归属于少数股东的综合收益总额||399,663,227.02|372,234,116.00
八、每股收益：|||
（一）基本每股收益（元/股）||0.26|0.12
（二）稀释每股收益（元/股）||0.26|0.12
法定代表人：陈政立                   主管会计工作负责人：贺德华                    会计机构负责人：游仕旭|||
