page|138
项目|附注|2019 年|2018 年
一、经营活动产生的现金流量|||
客户存款净增加额||443,748|336,329
存放中央银行款项减少额||-|91,162
同业和其他金融机构存放款项净增加额||84,676|29,890
存放同业和其他金融机构款项净减少额||-|2,714
拆出资金及买入返售金融资产净减少额||35,458|-
收取利息、手续费及佣金的现金||323,177|287,889
收到其他与经营活动有关的现金||16,067|27,463
经营活动现金流入小计||903,126|775,447
贷款和垫款净增加额||(509,737)|(375,451)
存放中央银行款项净增加额||(36,397)|-
向中央银行借款净减少额||(43,625)|(14,693)
存放同业和其他金融机构款项净增加额||(29,541)|-
拆出资金及买入返售金融资产净增加额||-|(24,025)
拆入资金及卖出回购金融资产净减少额||(52,493)|(117,351)
为交易目的而持有的金融资产净增加额||(9,819)|(40,067)
支付利息、手续费及佣金的现金||(108,812)|(101,915)
支付给职工以及为职工支付的现金||(42,276)|(42,570)
支付的各项税费||(50,865)|(59,950)
支付其他与经营活动有关的现金||(15,129)|(35,146)
经营活动现金流出小计||(898,694)|(811,168)
经营活动产生的现金流量净额|58(a)|4,432|(35,721)
二、投资活动产生的现金流量|||
收回投资收到的现金||802,970|980,939
取得投资收益收到的现金||49,221|48,692
处置子公司及联营合营公司收取的现金净额||39|9
出售固定资产和其他资产收到的现金||5,063|2,173
收到其他与投资活动有关的现金||-|1,785
投资活动现金流入小计||857,293|1,033,598
购建固定资产和其他资产所支付的现金||(23,964)|(17,492)
投资支付的现金||(903,854)|(994,234)
取得子公司及联营合营公司支付的现金净额||(46)|(2,154)
投资活动现金流出小计||(927,864)|(1,013,880)
投资活动产生的现金流量净额||(70,571)|19,718
page|139
项目|附注|2019 年|2018 年
三、筹资活动产生的现金流量|||
吸收投资收到的现金||-|125
其中：子公司吸收少数股东投资收到的现金||-|125
发行永续债筹集的资金||2,761|-
发行债券收到的现金||70,607|73,029
发行存款证收到的现金||27,631|32,300
发行同业存单收到的现金||455,128|407,328
收到其他与筹资活动有关的现金||6,509|2,921
筹资活动现金流入小计||562,636|515,703
偿还存款证支付的现金||(30,921)|(28,389)
偿还债券支付的现金||(22,363)|(15,590)
偿还同业存单支付的现金||(351,235)|(342,201)
偿还租赁负债支付的现金||(4,302)|不适用
派发股利支付的现金||(25,673)|(22,912)
支付筹资活动的利息||(17,337)|(11,813)
赎回少数股东权益支付的现金||(170)|(34)
支付其他与筹资活动有关的现金||(185)|(431)
筹资活动现金流出小计||(452,186)|(421,370)
筹资活动产生的现金流量净额||110,450|94,333
四、汇率变动对现金的影响额||1,681|4,928
五、现金及现金等价物净增加额(减少额)|58(c)|45,992|83,258
加：期初现金及现金等价物||543,683|460,425
六、期末现金及现金等价物|58(b)|589,675|543,683
