page|153
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||2,861,125,516.06  1,148,922,161.63
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
page|154
收到的税费返还|||
收到其他与经营活动有关的现金|（七）、78|48,989,102.17|29,303,799.58
经营活动现金流入小计|||2,910,114,618.23  1,178,225,961.21
购买商品、接受劳务支付的现金||2,213,466,784.56|940,881,443.23
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||113,256,370.52|79,065,616.49
支付的各项税费||146,775,267.90|35,527,335.58
支付其他与经营活动有关的现金|（七）、78|117,945,814.67|31,618,320.30
经营活动现金流出小计|||2,591,444,237.65  1,087,092,715.60
经营活动产生的现金流量净额||318,670,380.58|91,133,245.61
二、投资活动产生的现金流量：|||
收回投资收到的现金|||1,437,000,000.00  3,351,900,000.00
取得投资收益收到的现金||22,938,129.32|27,493,383.99
处置固定资产、无形资产和其他长期资产收回的现金净额||120,000.00|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（七）、78||47,000,000.00
投资活动现金流入小计|||1,460,058,129.32  3,426,393,383.99
购建固定资产、无形资产和其他长期资产支付的现金||1,182,878,918.62|515,869,410.23
投资支付的现金|||2,203,990,001.00  2,614,000,000.00
page|155
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||83,088,725.72|
支付其他与投资活动有关的现金|（七）、78|13,544,200.00|2,000,000.00
投资活动现金流出小计|||3,483,501,845.34  3,131,869,410.23
投资活动产生的现金流量净额||-2,023,443,716.02|294,523,973.76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||5,000,000.00|
其中：子公司吸收少数股东投资收到的现金||5,000,000.00|
取得借款收到的现金||2,080,632,075.47|193,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||2,085,632,075.47|193,000,000.00
偿还债务支付的现金||93,000,000.00|80,000,000.00
分配股利、利润或偿付利息支付的现金||82,023,599.85|103,596,156.42
其中：子公司支付给少数股东的股利、利润||47,229.61|
支付其他与筹资活动有关的现金|（七）、78|10,386,462.97|1,310,000.00
筹资活动现金流出小计||185,410,062.82|184,906,156.42
筹资活动产生的现金流量净额||1,900,222,012.65|8,093,843.58
四、汇率变动对现金及现金等价物的影响||-712.37|-1,185.49
五、现金及现金等价物净增加额||195,447,964.84|393,749,877.46
加：期初现金及现金等价物余额||1,049,991,548.16|656,241,670.70
六、期末现金及现金等价物余额|||1,245,439,513.00  1,049,991,548.16
