page|87
|支付的各项税费|||(8,121,140,154)||(4,718,908,461)||(27,301,687)||(26,096,848)
|支付其他与经营活动有关的现金|五 (50)||(6,186,564,744)||(5,819,650,965)||(4,004,468)||(3,876,247)
|经营活动现金流出小计|||(220,258,590,473)||(205,920,576,657)||(40,017,059)||(38,447,950)
|经营活动产生的现金流量净额||五 (51)|107,333,764,603||96,208,235,799||(20,698,739)||(33,367,172)
|二、投资活动产生的现金流量|||||||||
|收回投资收到的现金|||32,694,673,624||506,900,000||-||-
|取得投资收益收到的现金|||909,412,967||311,273,890||3,032,333,281||1,925,899,636
|处置固定资产、无形资产和其他长|||||||||
|期资产收回的现金净额|||1,647,315,265||1,511,988,292||-||-
|收到其他与投资活动有关的现金||五 (50)|13,704,000,000||11,168,022,050||-||-
|投资活动现金流入小计|||48,955,401,856||13,498,184,232||3,032,333,281||1,925,899,636
|购建固定资产、无形资产和其他长|||||||||
|期资产所支付的现金|||(58,655,696,504)||(60,366,712,823)||-||-
|投资支付的现金|||(58,916,505,194)||(574,731,382)||-||-
|支付其他与投资活动有关的现金||五 (50)|(23,400,000,000)||(11,434,000,000)||-||-
|投资活动现金流出小计|||(140,972,201,698)||(72,375,444,205)||-||-
|投资活动产生的现金流量净额|||(92,016,799,842)||(58,877,259,973)||3,032,333,281||1,925,899,636
|三、筹资活动产生的现金流量|||||||||
|吸收投资收到的现金|||66,000,000||557,221,240||-||49,861,240
|其中：子公司吸收少数股东投资收|||||||||
|到的现金|||66,000,000||507,360,000||-||-
|取得借款收到的现金|||10,740,000,000||40,581,236,862||-||-
|筹资活动现金流入小计|||10,806,000,000||41,138,458,102||-||49,861,240
|偿还债务支付的现金|||(29,705,271,993)||(66,878,971,703)||-||-
|分配股利或偿付利息所支付的现金|||(6,092,918,859)||(6,315,227,479)||(1,873,940,664)||(1,640,782,519)
|支付其他与筹资活动有关的现金||五 (50)|(1,989,646,350)||(413,756,507)||(51,750,176)||(58,593,400)
|筹资活动现金流出小计|||(37,787,837,202)||(73,607,955,689)||(1,925,690,840)||(1,699,375,919)
|筹资活动产生的现金流量净额|||(26,981,837,202)||(32,469,497,587)||(1,925,690,840)||(1,649,514,679)
|四、汇率变动对现金及现金等价物的影响|||(182,556,764)||25,401,270||-||-
|五、现金及现金等价物净（减少）/ 增加额||五 (51)|(11,847,429,205)||4,886,879,509||1,085,943,702||243,017,785
|加：年初现金及现金等价物余额||五 (51)|34,949,785,991||30,062,906,482||509,663,009||266,645,224
|六、年末现金及现金等价物余额||五 (51)|23,102,356,786||34,949,785,991||1,595,606,711||509,663,009
六||五|3||2||18||1|
