page|37
项目|附注五|2021 年度|2020 年度
一、营业总收入||722,118,127.08|734,397,436.23
其中：营业收入|（三十四）|722,118,127.08|734,397,436.23
二、营业总成本||750,972,699.79|751,984,890.83
其中：营业成本|（三十四）|622,320,882.15|627,308,507.01
税金及附加|（三十五）|2,124,909.47|1,538,266.37
销售费用|（三十六）|31,900,007.88|41,478,299.38
管理费用|（三十七）|56,259,593.26|46,101,492.04
研发费用|（三十八）|35,340,938.45|27,408,173.96
财务费用|（三十九）|3,026,368.58|8,150,152.07
其中：利息费用||2,329,632.24|6,675,956.52
利息收入||697,097.83|502,780.71
加：其他收益|（四十）|527,098.21|1,877,752.98
投资收益（损失以“－”号填列）|（四十一）|59,528,013.81|157,186,427.82
其中：对联营企业和合营企业的投资收益||7,323,576.02|14,855,745.00
公允价值变动收益（损失以“－”号填列）|（四十二）|7,903,651.65|-23,625,466.01
信用减值损失（损失以“-”号填列）|（四十三）|-1,159,681.77|335,605.73
资产减值损失（损失以“-”号填列）|（四十四）|-360,376.19|-5,548,220.27
资产处置收益（损失以“－”号填列）|（四十五）|1,093,890.70|4,111,870.00
三、营业利润（亏损以“－”号填列）||38,678,023.70|116,750,515.65
加：营业外收入|（四十六）|216,549.91|786,277.99
减：营业外支出|（四十七）|245,909.18|1,122,499.55
四、利润总额（亏损总额以“－”号填列）||38,648,664.43|116,414,294.09
减：所得税费用|（四十八）|14,564,650.23|33,023,397.11
五、净利润（净亏损以“－”号填列）||24,084,014.20|83,390,896.98
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||24,084,014.20|83,390,896.98
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||37,121,329.50|96,133,553.22
2.少数股东损益（净亏损以“-”号填列）||-13,037,315.30|-12,742,656.24
六、其他综合收益的税后净额|||-249,879.07
（一）归属母公司所有者的其他综合收益的税后净额|||-249,879.07
page|38
将重分类进损益的其他综合收益|||-249,879.07
权益法下可转损益的其他综合收益|||-249,879.07
七、综合收益总额||24,084,014.20|83,141,017.91
（一）归属于母公司所有者的综合收益总额||37,121,329.50|95,883,674.15
（二）归属于少数股东的综合收益总额||-13,037,315.30|-12,742,656.24
八、每股收益：|||
（一）基本每股收益(元/股)|（四十九）|0.12|0.30
（二）稀释每股收益(元/股)|（四十九）|0.12|0.30
