page|39
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||769,027,811.18|751,588,558.67
收到的税费返还||1,611,129.92|2,553,691.94
收到其他与经营活动有关的现金|（五十）1|8,895,265.47|40,855,508.77
经营活动现金流入小计||779,534,206.57|794,997,759.38
购买商品、接受劳务支付的现金||654,143,480.46|620,682,208.61
支付给职工及为职工支付的现金||73,952,320.08|70,300,504.96
支付的各项税费||29,682,103.79|14,462,325.08
支付其他与经营活动有关的现金|（五十）2|55,622,152.18|78,755,340.68
经营活动现金流出小计||813,400,056.51|784,200,379.33
经营活动产生的现金流量净额||-33,865,849.94|10,797,380.05
二、投资活动产生的现金流量：|||
收回投资收到的现金||98,108,471.97|170,675,784.77
取得投资收益收到的现金||16,389,830.40|106,525.39
处置固定资产、无形资产和其他长期资产收回的现金净额||1,213,369.04|9,658,159.62
处置子公司及其他营业单位收到的现金净额||6,107,597.69|
投资活动现金流入小计||121,819,269.10|180,440,469.78
购建固定资产、无形资产和其他长期资产支付的现金||25,209,818.09|27,720,551.60
投资支付的现金||88,725,653.78|31,337,204.27
投资活动现金流出小计||113,935,471.87|59,057,755.87
投资活动产生的现金流量净额||7,883,797.23|121,382,713.91
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||1,940,000.00
其中：子公司吸收少数股东投资收到的现金|||1,940,000.00
取得借款收到的现金||57,100,000.00|80,000,000.00
收到其他与筹资活动有关的现金|（五十）3|10,000,000.00|1,185,670.79
筹资活动现金流入小计||67,100,000.00|83,125,670.79
偿还债务支付的现金||81,100,000.00|58,000,000.00
分配股利、利润或偿付利息支付的现金||5,094,170.13|5,149,796.99
支付其他与筹资活动有关的现金|（五十）4|11,201,508.30|58,367,321.78
筹资活动现金流出小计||97,395,678.43|121,517,118.77
筹资活动产生的现金流量净额||-30,295,678.43|-38,391,447.98
四、汇率变动对现金及现金等价物的影响||-1,287,269.54|-1,797,014.44
五、现金及现金等价物净增加额||-57,565,000.68|91,991,631.54
加：期初现金及现金等价物余额||147,221,270.60|55,229,639.06
六、期末现金及现金等价物余额||89,656,269.92|147,221,270.60
