page|81
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||33,006,412,709.86|25,073,724,436.50
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||80,738.90
收到其他与经营活动有关的现金||389,145,284.76|348,762,820.26
经营活动现金流入小计||33,395,557,994.62|25,422,567,995.66
购买商品、接受劳务支付的现金||9,358,654,070.42|9,896,781,710.81
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||6,623,414,808.32|6,093,313,815.40
支付的各项税费||7,681,143,070.27|5,280,349,185.77
支付其他与经营活动有关的现金||1,682,994,919.50|1,917,687,802.81
经营活动现金流出小计||25,346,206,868.51|23,188,132,514.79
经营活动产生的现金流量净额||8,049,351,126.11|2,234,435,480.87
二、投资活动产生的现金流量：|||
page|82
收回投资收到的现金||1,650,582,152.96|1,020,498,061.91
取得投资收益收到的现金||75,569,009.69|70,542,658.39
处置固定资产、无形资产和其他长期资产收回的现金净额||5,470,430.90|22,961,704.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,731,621,593.55|1,114,002,424.30
购建固定资产、无形资产和其他长期资产支付的现金||2,151,077,660.97|1,159,398,028.82
投资支付的现金||1,649,590,449.43|1,019,624,789.41
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,800,668,110.40|2,179,022,818.23
投资活动产生的现金流量净额||-2,069,046,516.85|-1,065,020,393.93
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||30,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||11,568,800,000.00|14,597,305,495.00
收到其他与筹资活动有关的现金||816,037,530.08|668,505,345.67
筹资活动现金流入小计||12,384,837,530.08|15,295,810,840.67
偿还债务支付的现金||11,160,305,495.00|11,513,844,800.00
分配股利、利润或偿付利息支付的现金||1,288,612,188.69|1,394,905,513.41
其中：子公司支付给少数股东的股利、利润||14,478,800.00|722,820.00
支付其他与筹资活动有关的现金||5,654,331,394.23|1,312,501,962.48
筹资活动现金流出小计||18,103,249,077.92|14,221,252,275.89
筹资活动产生的现金流量净额||-5,718,411,547.84|1,074,558,564.78
四、汇率变动对现金及现金等价物的影响|||-20.54
五、现金及现金等价物净增加额||261,893,061.42|2,243,973,631.18
加：期初现金及现金等价物余额||13,927,832,959.84|11,683,859,328.66
六、期末现金及现金等价物余额||14,189,726,021.26|13,927,832,959.84
