page|75
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,474,569,355.10|1,049,436,439.32
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||63,163,507.91|17,600,667.42
收到其他与经营活动有关的现金||60,644,011.12|58,185,958.34
经营活动现金流入小计||1,598,376,874.13|1,125,223,065.08
购买商品、接受劳务支付的现金||1,108,754,140.14|688,972,609.06
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||353,420,723.22|259,157,015.59
支付的各项税费||35,888,690.76|43,604,686.24
支付其他与经营活动有关的现金||143,687,117.49|75,551,917.53
经营活动现金流出小计||1,641,750,671.61|1,067,286,228.42
经营活动产生的现金流量净额||-43,373,797.48|57,936,836.66
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,190,240,000.00|1,195,400,000.00
取得投资收益收到的现金||24,559,837.15|9,195,685.03
处置固定资产、无形资产和其他长期资产收回的现金净额||161,404.61|436,499.28
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||60,000.00|5,747,151.11
投资活动现金流入小计||1,215,021,241.76|1,210,779,335.42
购建固定资产、无形资产和其他长期资产支付的现金||170,428,367.43|127,430,970.36
投资支付的现金||945,000,000.00|1,575,640,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||1,423,598.00|60,000.00
投资活动现金流出小计||1,116,851,965.43|1,703,130,970.36
投资活动产生的现金流量净额||98,169,276.33|-492,351,634.94
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||1,125,797,520.23
page|76
其中：子公司吸收少数股东投资收到的现金|||1,125,797,520.23
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||1,125,797,520.23
偿还债务支付的现金|||193,480,830.00
分配股利、利润或偿付利息支付的现金||51,805,202.40|18,817,380.60
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||11,865,848.62|23,446,924.54
筹资活动现金流出小计||63,671,051.02|235,745,135.14
筹资活动产生的现金流量净额||-63,671,051.02|890,052,385.09
四、汇率变动对现金及现金等价物的影响||-5,314,696.51|-7,050,400.60
五、现金及现金等价物净增加额||-14,190,268.68|448,587,186.21
加：期初现金及现金等价物余额||589,258,074.48|140,670,888.27
六、期末现金及现金等价物余额||575,067,805.80|589,258,074.48
