page|61
项目|附注七|2021 年度|2020 年度
一、营业总收入||1,645,903,602.38|1,388,383,103.51
其中：营业收入|注释 61|1,645,903,602.38|1,388,383,103.51
利息收入|||
已赚保费|||
手续费及佣金收入|||
page|62
二、营业总成本||1,608,344,199.22|1,296,373,990.80
其中：营业成本|注释 61|1,416,030,267.15|1,092,532,646.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 62|16,248,648.85|17,536,871.13
销售费用|注释 63|53,197,002.38|39,728,933.98
管理费用|注释 64|66,547,152.08|58,951,415.03
研发费用|注释 65|58,020,899.40|53,293,181.85
财务费用|注释 66|-1,699,770.64|34,330,942.75
其中：利息费用||5,264,277.80|16,239,052.08
利息收入||3,129,397.86|3,152,459.72
加：其他收益|注释 67|5,595,002.14|838,034.84
投资收益（损失以“－”号填列）|注释 68|22,098,877.75|19,532,121.76
其中：对联营企业和合营企业的投资收益||20,549,636.12|13,873,543.60
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|注释 71|95,032,699.42|-7,732,057.46
资产减值损失（损失以“-”号填列）|注释 72|-57,619,217.75|-35,904,606.86
资产处置收益（损失以“－”号填列）|注释 73|-10,935.40|7,578.86
三、营业利润（亏损以“－”号填列）||102,655,829.32|68,750,183.85
加：营业外收入|注释 74|628,384.53|3,652,284.39
减：营业外支出|注释 75|244,398.87|398,338.12
四、利润总额（亏损总额以“－”号填列）||103,039,814.98|72,004,130.12
减：所得税费用|注释 76|8,241,797.64|6,655,332.02
五、净利润（净亏损以“－”号填列）||94,798,017.34|65,348,798.10
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||94,798,017.34|65,348,798.10
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||93,189,248.02|65,348,798.10
page|63
（净亏损以“-”号填列）|||
2.少数股东损益（净亏损以“-”号填列）||1,608,769.32|
六、其他综合收益的税后净额||-3,404,927.97|3,404,927.97
（一）归属母公司所有者的其他综合收益的税后净额||-3,404,927.97|3,404,927.97
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-3,404,927.97|3,404,927.97
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他||-3,404,927.97|3,404,927.97
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||91,393,089.37|68,753,726.07
（一）归属于母公司所有者的综合收益总额||89,784,320.05|68,753,726.07
（二）归属于少数股东的综合收益总额||1,608,769.32|
八、每股收益：|||
（一）基本每股收益(元/股)||0.55|0.38
（二）稀释每股收益(元/股)||0.55|0.38
