page|57
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|注释 1|412,248,569.49|414,126,402.15
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|注释 4|195,650,083.61|
应收账款|注释 5|531,981,210.35|443,364,768.77
应收款项融资|注释 6|23,317,200.00|247,984,669.94
预付款项|注释 7|324,383,283.95|374,338,019.73
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|注释 8|13,065,562.85|14,724,130.86
其中：应收利息|||
应收股利|||
买入返售金融资产|||
page|58
存货|注释 9|498,247,295.35|425,997,435.60
合同资产|注释 10|37,364,807.96|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|注释 13|4,211,102.64|
流动资产合计||2,040,469,116.20|1,920,535,427.05
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|注释 16|23,248,423.33|
长期股权投资|注释 17||83,548,047.22
其他权益工具投资|注释 18|7,750,000.00|7,750,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|注释 21|253,912,183.97|251,617,900.29
在建工程|注释 22|4,509,124.08|4,746,695.70
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|注释 26|82,668,320.04|85,395,949.78
开发支出|||
商誉|注释 28|5,900.64|
长期待摊费用|||
递延所得税资产|注释 30|108,205,433.53|105,545,578.80
其他非流动资产|注释 31|16,990,120.55|19,270,940.55
非流动资产合计||497,289,506.14|557,875,112.34
资产总计||2,537,758,622.34|2,478,410,539.39
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|注释 35|264,778,288.77|226,911,733.82
应付账款|注释 36|286,374,478.65|141,340,820.12
预收款项|||
合同负债|注释 38|109,578,874.06|342,040,510.51
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|注释 39|32,577,325.25|18,820,193.44
应交税费|注释 40|4,586,270.24|18,539,462.86
其他应付款|注释 41|65,179,782.05|53,117,760.64
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
page|59
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|注释 43|100,192,500.03|200,000,000.00
其他流动负债|注释 44|26,737,862.78|12,199,913.29
流动负债合计||890,005,381.83|1,012,970,394.68
非流动负债：|||
保险合同准备金|||
长期借款|注释 45|100,000,000.00|100,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|注释 48|44,422,945.81|44,422,945.81
长期应付职工薪酬|||
预计负债|注释 50|53,873,116.29|36,034,732.52
递延收益|注释 51|72,743,196.27|56,431,000.00
递延所得税负债|||
其他非流动负债|||
非流动负债合计||271,039,258.37|236,888,678.33
负债合计||1,161,044,640.20|1,249,859,073.01
所有者权益（或股东权益）：|||
实收资本（或股本）|注释 53|170,000,000.00|170,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|注释 55|403,931,070.93|403,931,070.93
减：库存股|||
其他综合收益|注释 57||3,404,927.97
专项储备|注释 58|11,328,566.98|15,094,628.57
盈余公积|注释 59|468,115,050.04|440,224,344.34
一般风险准备|||
未分配利润|注释 60|240,795,036.89|195,896,494.57
归属于母公司所有者权益（或股东权益）合计||1,294,169,724.84|1,228,551,466.38
少数股东权益||82,544,257.30|
所有者权益（或股东权益）合计||1,376,713,982.14|1,228,551,466.38
负债和所有者权益（或股东权益）总计||2,537,758,622.34|2,478,410,539.39
