page|65
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,530,050,864.66|1,314,479,311.34
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,143,594.11|3,023,928.62
收到其他与经营活动有关的现金|注释 78|86,257,015.58|70,751,227.83
经营活动现金流入小计||1,620,451,474.35|1,388,254,467.79
购买商品、接受劳务支付的现金||1,216,575,983.92|1,014,192,796.49
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现|||
page|66
金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||151,251,792.62|130,656,324.26
支付的各项税费||72,166,612.44|73,487,803.30
支付其他与经营活动有关的现金|注释 78|83,846,462.01|77,604,223.42
经营活动现金流出小计||1,523,840,850.99|1,295,941,147.47
经营活动产生的现金流量净额||96,610,623.36|92,313,320.32
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||24,549,241.63|10,218,403.28
处置固定资产、无形资产和其他长期资产收回的现金净额||93,968.60|267,260.28
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释 78|29,679,282.23|
投资活动现金流入小计||54,322,492.46|10,485,663.56
购建固定资产、无形资产和其他长期资产支付的现金||19,977,247.31|14,539,004.68
投资支付的现金||168,096.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||20,145,343.31|14,539,004.68
投资活动产生的现金流量净额||34,177,149.15|-4,053,341.12
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||100,000,000.00|400,000,000.00
收到其他与筹资活动有关的现金|注释 78|57,004,705.42|15,771,847.31
筹资活动现金流入小计||157,004,705.42|415,771,847.31
偿还债务支付的现金||200,000,000.00|392,700,380.40
分配股利、利润或偿付利息支付的现金||30,282,888.88|36,596,310.97
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释 78|54,902,494.96|19,006,222.29
筹资活动现金流出小计||285,185,383.84|448,302,913.66
筹资活动产生的现金流量净额||-128,180,678.42|-32,531,066.35
page|67
四、汇率变动对现金及现金等价物的影响||-2,382,716.29|-15,240,620.11
五、现金及现金等价物净增加额||224,377.80|40,488,292.74
加：期初现金及现金等价物余额||395,120,179.86|354,631,887.12
六、期末现金及现金等价物余额||395,344,557.66|395,120,179.86
