page|94
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||38,555,780,441.61|17,793,990,681.70
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
page|95
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,350,229.73|136,432.29
收到其他与经营活动有关的现金||434,289,868.15|76,530,000.46
经营活动现金流入小计||38,992,420,539.49|17,870,657,114.45
购买商品、接受劳务支付的现金||37,228,085,149.34|16,647,927,624.24
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||144,662,491.71|87,403,377.59
支付的各项税费||267,795,467.87|150,617,052.26
支付其他与经营活动有关的现金||1,080,652,789.38|207,971,451.24
经营活动现金流出小计||38,721,195,898.30|17,093,919,505.33
经营活动产生的现金流量净额||271,224,641.19|776,737,609.12
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,000,000.00|
取得投资收益收到的现金||35,334,731.35|18,347,421.75
处置固定资产、无形资产和其他长期资产收回的现金净额||4,000.00|33,000.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||3,237,616,027.42|1,214,158,838.07
投资活动现金流入小计||3,274,954,758.77|1,232,539,259.82
购建固定资产、无形资产和其他长期资产支付的现金||78,122,078.76|114,217,517.30
投资支付的现金||33,990,000.00|22,399,350.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||3,842,407,015.10|3,200,524,974.60
投资活动现金流出小计||3,954,519,093.86|3,337,141,841.90
投资活动产生的现金流量净额||-679,564,335.09|-2,104,602,582.08
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||19,200,000.00|2,425,192,689.30
其中：子公司吸收少数股东投资收到的现金||19,200,000.00|10,805,000.00
取得借款收到的现金||1,099,000,000.00|837,017,000.00
收到其他与筹资活动有关的现金|||12,877,500.00
筹资活动现金流入小计||1,118,200,000.00|3,275,087,189.30
偿还债务支付的现金||626,000,000.00|686,415,200.06
分配股利、利润或偿付利息支付的现金||53,580,459.02|34,345,724.15
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||5,713,520.38|6,628,990.86
筹资活动现金流出小计||685,293,979.40|727,389,915.07
page|96
筹资活动产生的现金流量净额||432,906,020.60|2,547,697,274.23
四、汇率变动对现金及现金等价物的影响||-222,835.18|49,215.01
五、现金及现金等价物净增加额||24,343,491.52|1,219,881,516.28
加：期初现金及现金等价物余额||1,914,331,066.29|694,449,550.01
六、期末现金及现金等价物余额||1,938,674,557.81|1,914,331,066.29
