page|105
资产|附注五|2019年12月31日|2018年12月31日
流动资产|||
|1|18,648,185|26,801,343
货币资金|||
交易性金融资产|2|6,074,751|-
以公允价值计量且其变动计入当|||
|3|-|1,137,580
期损益的金融资产|||
|4|159,036|-
衍生金融资产|||
应收票据|5|228,942|4,272,222
应收账款|6|8,340,354|13,604,358
应收账款保理|7|-|47,087
预付款项|8|364,423|1,194,972
其他应收款|9|2,750,042|5,719,379
|10|5,677,963|19,887,972
存货|||
持有待售资产||-|18,791
其他流动资产|11|5,911,827|7,624,097
流动资产合计||48,155,523|80,307,801
非流动资产|||
发放贷款及垫款|12|3,637,768|1,123,800
债权投资|13|20,373|-
可供出售金融资产|14|-|4,270,845
长期股权投资|15|17,194,284|16,957,109
其他权益工具投资|16|279,884|-
|17|2,542,689|-
其他非流动金融资产|||
投资性房地产|18|82,273|1,676,211
固定资产|19|45,459,070|35,983,131
在建工程|20|33,578,290|38,924,586
无形资产|21|5,684,584|5,954,873
开发支出|22|1,548,471|1,011,504
|23|2,452|357,112
商誉|||
长期待摊费用|24|1,567,691|1,861,333
递延所得税资产|25|840,874|797,882
其他非流动资产|26|4,250,659|3,537,756
非流动资产合计||116,689,362|112,456,142
page|106
负债及股东权益|附注五|2019年12月31日|2018年12月31日
流动负债|||
短期借款|27|12,069,657|13,240,637
保理借款|7|-|47,087
向中央银行借款|28|573,222|231,404
吸收存款及同业存放|29|1,355,129|545,053
交易性金融负债|30|188,220|-
以公允价值计量且其变动计入当期损|||
|31|-|212,097
益的金融负债|||
衍生金融负债|32|84,705|-
应付票据|33|1,720,402|3,092,574
应付账款|34|11,549,133|23,922,712
预收款项|35|141,749|1,460,773
应付职工薪酬|36|1,094,217|2,891,393
应交税费|37|226,806|716,534
其他应付款|38|12,293,566|23,120,774
应付短期融资券|39|-|2,000,000
一年内到期的非流动负债|40|1,691,963|6,009,915
其他流动负债|41|69,022|1,344,451
流动负债合计||43,057,791|78,835,404
非流动负债|||
长期借款|42|38,512,059|36,864,923
应付债券|43|16,479,085|12,985,628
长期应付款|44|24,206|73,902
长期应付职工薪酬|36|23,018|24,246
递延收益|45|1,912,421|2,637,229
递延所得税负债|25|952,678|440,352
其他非流动负债||483|30,586
非流动负债合计||57,903,950|53,056,866
负债合计||100,961,741|131,892,270
股本|46|13,528,439|13,549,649
资本公积|47|5,716,667|5,996,741
减：库存股|48|1,952,957|63,458
其他综合收益|68|(534,082)|(1,174,162)
盈余公积|49|2,238,368|2,184,261
一般风险准备|50|361|361
未分配利润|51|11,115,150|10,000,973
归属母公司股东权益合计||30,111,946|30,494,365
少数股东权益||33,771,198|30,377,308
股东权益合计||63,883,144|60,871,673
负债及股东权益总计||164,844,885|192,763,943
|主管会计|会计机构|
李东生 法定代表人：|工作负责人：|杜娟 负责人：|习文波
后附财务报表附注为财务报表的组成部分。|||
