page|107
|人民币千元||
|附注五|2019年度|2018年度
一、营业总收入||75,077,806|113,447,438
|52|74,933,086|113,360,076
其中：营业收入|||
|53|144,720|87,362
利息收入|||
|52|66,337,117|92,605,589
减：营业成本|||
|53|17,230|72,248
利息支出|||
|54|330,588|661,262
税金及附加|||
|55|2,857,489|8,887,021
销售费用|||
|56|1,895,088|4,299,607
管理费用|||
|57|3,396,805|4,677,579
研发费用|||
|58|1,248,801|973,261
财务费用|||
其中：利息费用||1,958,251|1,782,408
利息收入||401,645|621,949
|59|1,900,636|2,218,718
加：其他收益|||
|60|3,442,554|2,167,254
投资收益|||
其中：对联营企业和合营企业的投资收益||1,657,471|1,360,268
|53|(12,499)|(47,714)
汇兑收益|||
|61|473,673|(3,879)
公允价值变动收益|||
|62|32,258|-
减：信用减值损失|||
|63|791,112|1,523,119
资产减值损失|||
|64|1,157|10,071
加：资产处置收益|||
二、营业利润||3,976,839|4,092,202
|65|128,609|956,809
加：营业外收入|||
|66|49,645|104,631
减：营业外支出|||
三、利润总额||4,055,803|4,944,380
|67|398,069|879,182
减：所得税费用|||
四、净利润||3,657,734|4,065,198
(一)按经营持续性分类|||
持续经营净利润||2,325,647|3,553,189
终止经营净利润||1,332,087|512,009
(二)按所有权归属分类|||
归属于母公司股东的净利润||2,617,765|3,468,211
少数股东损益||1,039,969|596,987
|68|488,805|(1,663,194)
五、其他综合收益的税后净额|||
(一)以后会计期间不能重分类进损益的其他综合收益||27,642|-
(二)以后会计期间在满足规定条件时将重分类进损益的其|||
||461,163|(1,663,194)
他综合收益|||
六、综合收益总额||4,146,539|2,402,004
归属于母公司股东的综合收益总额||2,922,896|2,074,777
归属于少数股东的综合收益总额||1,223,643|327,227
|69||
七、每股收益|||
(一)基本每股收益(人民币元)||0.1986|0.2566
(二)稀释每股收益(人民币元)||0.1935|0.2562
主管会计||会计机构|
