page|39
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
page|40
货币资金||383,526,370.20|292,915,103.90
结算备付金|||
拆出资金|||
交易性金融资产||190,494,929.87|201,878,377.05
衍生金融资产|||
应收票据|||
应收账款||180,842,487.64|239,985,023.77
应收款项融资||3,009,284.03|537,108.59
预付款项||28,663,349.98|50,777,251.16
其他应收款||3,763,505.70|6,647,574.37
其中：应收利息|||
应收股利|||
存货||60,804,806.18|66,636,474.69
其他流动资产||107,882,148.25|117,324,259.93
流动资产合计||958,986,881.85|976,701,173.46
非流动资产：|||
长期股权投资||8,973,176.79|9,694,448.59
其他非流动金融资产||58,160,844.25|45,343,124.21
投资性房地产||133,883,969.98|147,207,360.62
固定资产||62,245,285.92|60,586,850.60
在建工程||5,500.00|171,221.36
无形资产||10,939,355.86|11,431,831.84
其他非流动资产|||227,153.98
非流动资产合计||274,208,132.80|274,661,991.20
资产总计||1,233,195,014.65|1,251,363,164.66
流动负债：|||
短期借款||15,020,934.38|23,024,379.17
应付票据||11,583,356.58|16,080,974.35
应付账款||133,443,206.22|211,991,946.51
预收款项||697,133.19|986,573.99
合同负债||11,436,522.25|8,286,304.25
应付职工薪酬||14,677,111.99|10,415,967.28
应交税费||10,173,891.27|10,335,784.56
其他应付款||9,869,123.78|9,611,538.23
其中：应付利息|||
应付股利|||
一年内到期的非流动负债|||
其他流动负债||459,431.77|433,932.36
流动负债合计||207,360,711.43|291,167,400.70
非流动负债：|||
预计负债||813,070.29|776,914.61
递延收益||4,915,846.25|5,337,679.96
递延所得税负债|||
其他非流动负债|||
非流动负债合计||5,728,916.54|6,114,594.57
负债合计||213,089,627.97|297,281,995.27
所有者权益（或股东权益）：|||
page|41
实收资本（或股本）||768,000,000.00|768,000,000.00
资本公积||455,922,182.76|455,922,182.76
减：库存股|||
其他综合收益||5,090,377.76|4,989,715.58
专项储备|||
盈余公积||66,404,174.11|66,404,174.11
一般风险准备|||
未分配利润||-314,409,232.60|-357,292,455.40
归属于母公司所有者权益（或股东权益）合计||981,007,502.03|938,023,617.05
少数股东权益||39,097,884.65|16,057,552.34
所有者权益（或股东权益）合计||1,020,105,386.68|954,081,169.39
负债和所有者权益（或股东权益）总计||1,233,195,014.65|1,251,363,164.66
