page|62
项目|附 注|2019 年 12 月 31 日|2019 年 1 月 1 日|2018 年 12 月 31 日
流动资产：||||
货币资金||393,934,134.28|476,655,221.61|476,655,221.61
结算备付金||||
拆出资金||||
交易性金融资产||1,521,005.64|1,492,663.92|
以公允价值计量且其变动计入当期损益的金融资产||||1,492,663.92
衍生金融资产||||
应收票据||145,501,414.85|187,102,495.61|187,102,495.61
应收账款||768,256,101.63|728,609,758.26|732,719,359.90
应收款项融资||||
预付款项||186,519,938.92|59,429,505.55|59,429,505.55
应收保费||||
应收分保账款||||
应收分保合同准备金||||
其他应收款||28,622,980.89|40,422,330.45|40,643,430.94
其中：应收利息||||
应收股利|||13,909,482.91|13,909,482.91
买入返售金融资产||||
存货||636,693,451.77|340,529,499.20|340,529,499.20
持有待售资产||||
一年内到期的非流动资产||||
其他流动资产||6,030,008.98|4,015,414.08|4,015,414.08
流动资产合计||2,167,079,036.96|1,838,256,888.68|1,842,587,590.81
非流动资产：||||
发放贷款和垫款||||
债权投资||||
可供出售金融资产||||
其他债权投资||||
持有至到期投资||||
长期应收款||||
长期股权投资||253,756,581.60|261,317,654.37|261,317,654.37
其他权益工具投资||||
其他非流动金融资产||||
投资性房地产||||
固定资产||780,700,904.82|858,956,720.66|858,956,720.66
在建工程||||
page|63
生产性生物资产||||
油气资产||||
使用权资产||||
无形资产||112,594,115.61|117,017,343.38|117,017,343.38
开发支出||||
商誉||||
长期待摊费用||23,265,013.59|27,121,034.31|27,121,034.31
递延所得税资产||29,124,951.64|23,536,659.57|23,070,362.73
其他非流动资产||1,391,902.29|1,303,664.71|1,303,664.71
非流动资产合计||1,200,833,469.55|1,289,253,077.00|1,288,786,780.16
资产总计||3,367,912,506.51|3,127,509,965.68|3,131,374,370.97
流动负债：||||
短期借款||450,855,277.78|130,195,616.67|130,000,000.00
向中央银行借款||||
拆入资金||||
交易性金融负债||||
以公允价值计量且其变动计入当期损益的金融负债||||
衍生金融负债||||
应付票据||139,576,128.76|151,311,001.16|151,311,001.16
应付账款||358,786,793.76|261,459,889.36|261,459,889.36
预收款项||341,146,783.87|205,711,064.81|205,711,064.81
卖出回购金融资产款||||
吸收存款及同业存放||||
代理买卖证券款||||
代理承销证券款||||
应付职工薪酬||31,508,011.83|25,882,849.97|25,882,849.97
应交税费||34,562,724.35|35,605,165.18|35,605,165.18
其他应付款||29,175,455.99|20,481,249.59|21,329,526.26
其中：应付利息||||848,276.67
应付股利||190,111.62|190,111.62|190,111.62
应付手续费及佣金||||
应付分保账款||||
持有待售负债||||
一年内到期的非流动负债||33,401,986.11|323,652,660.00|323,000,000.00
其他流动负债||9,624,470.00||
流动负债合计||1,428,637,632.45|1,154,299,496.74|1,154,299,496.74
非流动负债：||||
保险合同准备金||||
长期借款||118,800,000.00|102,000,000.00|102,000,000.00
应付债券||||
其中：优先股||||
永续债||||
租赁负债||||
page|64
长期应付款||||
长期应付职工薪酬||||
预计负债||||
递延收益||60,677,464.89|69,155,501.22|69,155,501.22
递延所得税负债||||
其他非流动负债||||
非流动负债合计||179,477,464.89|171,155,501.22|171,155,501.22
负债合计||1,608,115,097.34|1,325,454,997.96|1,325,454,997.96
所有者权益（或股东权益）：||||
实收资本（或股本）||354,528,198.00|354,528,198.00|354,528,198.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积||996,957,126.51|996,957,126.51|996,957,126.51
减：库存股||||
其他综合收益||||
专项储备||8,329,712.97|8,087,478.23|8,087,478.23
盈余公积||49,934,131.76|49,934,131.76|49,934,131.76
一般风险准备||||
未分配利润||350,607,267.75|386,914,943.15|390,775,116.77
归 属 于 母 公 司 所 有者权益（或股东权益）合计||1,760,356,436.99|1,796,421,877.65|1,800,282,051.27
少数股东权益||-559,027.82|5,633,090.07|5,637,321.74
所有者权益（或股东权益）合计||1,759,797,409.17|1,802,054,967.72|1,805,919,373.01
负 债 和 所 有 者权益（或股东权益）总计||3,367,912,506.51|3,127,509,965.68|3,131,374,370.97
