page|97
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,915,803,567.16|1,470,395,984.71
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
page|98
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,891,878.24|223,750.47
收到其他与经营活动有关的现金|（四十八）|198,023,624.16|78,129,656.00
经营活动现金流入小计||2,117,719,069.56|1,548,749,391.18
购买商品、接受劳务支付的现金||953,777,989.76|922,797,004.88
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||287,469,109.73|222,445,941.21
支付的各项税费||107,330,626.33|107,676,823.50
支付其他与经营活动有关的现金|（四十八）|342,225,170.33|215,858,381.56
经营活动现金流出小计||1,690,802,896.15|1,468,778,151.15
经营活动产生的现金流量净额||426,916,173.41|79,971,240.03
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,257,986,513.47|1,801,510,000.00
取得投资收益收到的现金||23,968.12|10,721,927.14
处置固定资产、无形资产和其他长期资产收回的现金净额||31,960,434.93|92,633,274.07
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（四十八）|6,310,000.00|
投资活动现金流入小计||3,296,280,916.52|1,904,865,201.21
购建固定资产、无形资产和其他长期资产支付的现金||269,665,210.00|191,288,784.13
投资支付的现金||3,291,320,000.00|1,802,760,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
page|99
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,560,985,210.00|1,994,048,784.13
投资活动产生的现金流量净额||-264,704,293.48|-89,183,582.92
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||112,000,000.00|310,853,416.22
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||112,000,000.00|310,853,416.22
偿还债务支付的现金||190,000,000.00|112,500,000.00
分配股利、利润或偿付利息支付的现金||36,344,141.53|50,311,888.93
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十八）|75,034,448.37|15,454,093.70
筹资活动现金流出小计||301,378,589.90|178,265,982.63
筹资活动产生的现金流量净额||-189,378,589.90|132,587,433.59
四、汇率变动对现金及现金等价物的影响||531.10|5,570.90
五、现金及现金等价物净增加额||-27,166,178.87|123,380,661.60
加：期初现金及现金等价物余额||660,731,265.64|537,350,604.04
六、期末现金及现金等价物余额||633,565,086.77|660,731,265.64
