page|93
项目|附注五|2019 年度|2018 年度
一、营业总收入|（三十二）|2,424,990,619.03|1,662,256,222.57
其中：营业收入||2,424,990,619.03|1,662,256,222.57
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,263,933,371.80|1,578,414,793.35
其中：营业成本|（三十三）|1,621,789,934.34|1,172,054,787.77
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（三十四）|15,875,241.74|13,437,210.31
销售费用|（三十五）|398,450,835.19|234,405,371.08
管理费用|（三十六）|115,343,745.25|90,038,481.91
研发费用|（三十七）|64,475,082.68|47,163,701.65
财务费用|（三十八）|47,998,532.60|21,315,240.63
其中：利息费用||49,914,763.04|20,209,823.74
利息收入||2,561,470.27|1,241,468.04
加：其他收益|（三十九）|25,871,815.49|13,784,161.87
投资收益（损失以“－”号填列）|（四十）|10,416,362.47|10,196,707.83
其中：对联营企业和合营企业||-524,119.12|-525,219.31
page|94
的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|（四十一）|-62,241,219.96|
资产减值损失（损失以“-”号填列）|（四十二）|-8,110,277.99|-27,711,934.88
资产处置收益（损失以“－”号填列）|（四十三）|-131,503.46|-507,718.84
三、营业利润（亏损以“－”号填列）||126,862,423.78|79,602,645.20
加：营业外收入|（四十四）|3,182,494.57|1,485,670.29
减：营业外支出|（四十五）|1,685,654.72|416,842.71
四、利润总额（亏损总额以“－”号填列）||128,359,263.63|80,671,472.78
减：所得税费用|（四十六）|14,176,985.66|21,939,335.26
五、净利润（净亏损以“－”号填列）||114,182,277.97|58,732,137.52
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||114,182,277.97|58,732,137.52
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||114,182,277.97|58,732,137.52
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
page|95
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||114,182,277.97|58,732,137.52
（一）归属于母公司所有者的综合收益总额||114,182,277.97|58,732,137.52
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)|（四十七）|0.59|0.30
（二）稀释每股收益(元/股)|（四十七）|0.59|0.30
