page|63
项         目|附注|2020 年度合并|2019 年度合并|2020 年度公司|2019 年度公司
一、营业收入|四(38)、十四(4)|33,095,733,665|29,173,636,262||30,728,247,865   27,013,530,410
减：营业成本|四(38)、四(44)、十四(4)|(27,518,509,913)|(24,530,857,150)||(26,277,296,318) (23,558,653,135)
税金及附加|四(39)|(837,877,008)|(744,695,131)|(808,544,571)|(715,214,044)
销售费用|四(40)、四(44)|(1,544,737,028)|(1,525,883,194)|(226,152,644)|(220,785,082)
管理费用|四(41)、四(44)|(1,012,347,173)|(955,566,805)|(806,195,496)|(776,697,100)
研发费用|四(42)、四(44)|(1,343,812,092)|(1,776,320,646)|(1,341,100,949)|(1,610,563,277)
财务费用|四(43)|197,567,513|189,506,963|179,281,512|241,659,728
其中：利息费用||(19,283,170)|(2,903,955)|(19,232,913)|(2,727,224)
利息收入||215,262,461|203,950,159|196,071,590|250,902,581
加：其他收益|四(47)|268,222,289|246,880,334|246,472,249|18,046,849
投资收益|四(48)、十四(5)|70,178,856|39,121,245|70,427,986|38,814,164
其中：对联营企业和合营企业的投资收益|四(48)|(1,438,009)|822,880|(1,438,009)|822,880
公允价值变动收益|四(49)|721,890|(1,524,631)|(373,178)|(1,524,631)
信用减值损失|四(46)|(79,766,249)|(131,701,073)|(56,761,565)|(111,193,097)
资产减值损失|四(45)|(681,884,784)|(92,395,494)|(1,158,304,106)|(86,284,181)
资产处置收益|四(50)|(713,072)|(794,016)|(548,969)|(1,959,962)
二、营业利润||612,776,894|(110,593,336)|549,151,816|229,176,642
加：营业外收入|四(51)|11,634,917|222,840,220|4,303,815|222,016,703
减：营业外支出|四(52)|(172,753,545)|(7,261,457)|(30,611,761)|(6,723,923)
三、利润总额||451,658,266|104,985,427|522,843,870|444,469,422
减：所得税费用|四(53)|99,040,692|42,826,651|85,506,286|33,775,220
四、净利润||550,698,958|147,812,078|608,350,156|478,244,642
按经营持续性分类|||||
持续经营净利润||550,698,958|147,812,078|608,350,156|478,244,642
终止经营净利润|||-|-|-  -
按所有权归属分类|||||
少数股东损益||-|-|-|-
归属于母公司股东的净利润||550,698,958|147,812,078|608,350,156|478,244,642
五、其他综合收益的税后净额|||||
归属于母公司股东的其他综合收益的税后净额|||||
不能重分类进损益的其他综合收益|||||
重新计量设定受益计划变动额|四(35)|(363,750)|(1,217,250)|(405,000)|(1,221,000)
归属于少数股东的其他综合收益的税后净额||-|-|-|-
六、综合收益总额||550,335,208|146,594,828|607,945,156|477,023,642
归属于母公司股东的综合收益总额||550,335,208|146,594,828|607,945,156|477,023,642
归属于少数股东的综合收益总额||-|-|-|-
七、每股收益|||||
基本每股收益(人民币元)|四(54)|0.64|0.17|——|——
稀释每股收益(人民币元)|四(54)|0.64|0.17|——|——
