page|59
项目|附 注|2020 年度|2019 年度
一、营业总收入||87,316,707,290.57|71,091,690,306.15
其中：营业收入|61|87,316,707,290.57|71,091,690,306.15
二、营业总成本||85,603,236,061.54|70,183,114,359.02
其中：营业成本|61|81,685,513,962.90|66,401,534,300.90
税金及附加|62|307,072,990.82|346,033,210.31
销售费用|63|345,071,733.85|489,605,482.85
管理费用|64|1,134,799,827.43|1,043,466,688.33
研发费用|65|1,292,521,860.35|969,687,414.96
财务费用|66|838,255,686.19|932,787,261.67
其中：利息费用||763,032,391.80|881,125,727.69
利息收入||79,830,807.98|69,470,565.32
加：其他收益|67|253,866,252.37|167,064,206.59
投资收益（损失以“－”号填列）|68|83,790,343.00|71,286,912.41
其中：对联营企业和合营企业的投资收益||83,974,190.69|73,206,180.41
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|10,841,658.84|1,837,511.18
资产减值损失（损失以“-”号填列）|72|-26,725,861.57|-60,601,674.71
资产处置收益（损失以“－”号填列）|73|2,825,571.86|1,062,776.27
三、营业利润（亏损以“－”号填列）||2,038,069,193.53|1,089,225,678.87
加：营业外收入|74|9,519,713.56|12,525,634.45
减：营业外支出|75|76,772,367.13|97,954,457.25
四、利润总额（亏损总额以“－”号填列）||1,970,816,539.96|1,003,796,856.07
减：所得税费用|76|391,182,150.59|98,122,727.82
五、净利润（净亏损以“－”号填列）||1,579,634,389.37|905,674,128.25
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,579,634,389.37|905,674,128.25
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||722,663,665.87|579,062,116.14
2.少数股东损益（净亏损以“-”号填列）||856,970,723.50|326,612,012.11
六、其他综合收益的税后净额|77|1,114,839.36|3,245,771.78
（一）归属母公司所有者的其他综合收益的税后净额||1,114,839.36|3,245,771.78
1．不能重分类进损益的其他综合收益||1,114,839.36|3,245,771.78
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,114,839.36|3,245,771.78
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,580,749,228.73|908,919,900.03
（一）归属于母公司所有者的综合收益总额||723,778,505.23|582,307,887.92
（二）归属于少数股东的综合收益总额||856,970,723.50|326,612,012.11
八、每股收益：|||
（一）基本每股收益(元/股)||0.0670|0.0529
（二）稀释每股收益(元/股)||0.0670|0.0529
