page|61
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||68,904,599,388.93|50,161,491,946.62
收到的税费返还||223,338,738.59|249,897,679.49
收到其他与经营活动有关的现金|78|506,808,419.44|645,502,041.29
经营活动现金流入小计||69,634,746,546.96|51,056,891,667.40
购买商品、接受劳务支付的现金||57,157,433,955.99|40,756,049,272.32
支付给职工及为职工支付的现金||4,395,862,265.56|3,203,079,404.73
支付的各项税费||1,355,282,307.58|1,909,503,403.50
支付其他与经营活动有关的现金|78|867,985,149.27|673,651,437.46
经营活动现金流出小计||63,776,563,678.40|46,542,283,518.01
经营活动产生的现金流量净额||5,858,182,868.56|4,514,608,149.39
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||77,756,504.79|65,178,059.34
处置固定资产、无形资产和其他长期资产收回的现金净额||47,400,720.87|216,970.59
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||125,157,225.66|65,395,029.93
购建固定资产、无形资产和其他长期资产支付的现金||2,154,989,800.13|5,326,877,415.47
投资支付的现金||300,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,454,989,800.13|5,326,877,415.47
投资活动产生的现金流量净额||-2,329,832,574.47|-5,261,482,385.54
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||163,110,000.00
其中：子公司吸收少数股东投资收到的现金|||163,110,000.00
取得借款收到的现金||8,353,688,265.74|5,987,500,000.00
发行债券收到的现金|||3,500,000,000.00
收到其他与筹资活动有关的现金|78||1,038,520,910.00
筹资活动现金流入小计||8,353,688,265.74|10,689,130,910.00
偿还债务支付的现金||8,894,600,000.00|11,587,507,300.00
分配股利、利润或偿付利息支付的现金||1,205,427,769.58|684,450,587.67
其中：子公司支付给少数股东的股利、利润||504,826,014.09|9,497,159.85
支付其他与筹资活动有关的现金|78|1,102,013,872.50|656,845,739.60
筹资活动现金流出小计||11,202,041,642.08|12,928,803,627.27
筹资活动产生的现金流量净额||-2,848,353,376.34|-2,239,672,717.27
四、汇率变动对现金及现金等价物的影响||1,272,331.92|-1,068,712.62
五、现金及现金等价物净增加额||681,269,249.67|-2,987,615,666.04
加：期初现金及现金等价物余额||3,662,860,060.03|6,650,475,726.07
六、期末现金及现金等价物余额|79|4,344,129,309.70|3,662,860,060.03
