page|55
项目|附 注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|6,832,076,070.78|5,832,603,967.23
交易性金融资产|||
衍生金融资产|||
应收票据|4|2,744,174,879.35|3,194,122,671.78
应收账款|5|97,210,416.61|150,423,181.93
应收款项融资|6|1,099,489,972.45|2,226,404,480.85
预付款项|7|448,565,526.87|560,248,888.18
其他应收款|8|118,431,785.31|36,319,485.55
其中：应收利息||6,540,762.03|2,896,712.26
应收股利|||
存货|9|5,082,931,561.88|4,894,084,144.39
合同资产|||
持有待售资产|||
一年内到期的非流动资产|12||126,379,738.05
其他流动资产|13|1,642,328,968.39|2,454,908,909.26
流动资产合计||18,065,209,181.64|19,475,495,467.22
非流动资产：|||
债权投资|||
其他债权投资|||
长期应收款|16|45,496,239.68|42,688,893.25
长期股权投资|17|1,762,198,241.70|1,455,980,555.80
其他权益工具投资|18|11,230,135.12|10,115,295.76
其他非流动金融资产|||
投资性房地产|||
固定资产|21|39,258,883,777.48|39,835,999,390.19
在建工程|22|3,242,322,178.62|3,050,754,739.54
无形资产|26|4,523,319,696.89|4,509,885,358.49
开发支出|||
商誉|||
长期待摊费用|29|2,261,354.40|2,462,633.99
递延所得税资产|30|689,250,056.18|590,594,359.10
其他非流动资产|31|886,801,372.43|559,983,196.23
非流动资产合计||50,421,763,052.50|50,058,464,422.35
资产总计||68,486,972,234.14|69,533,959,889.57
流动负债：|||
短期借款|32|4,998,688,265.74|3,726,000,000.00
交易性金融负债|||
衍生金融负债|||
page|56
应付票据|35|6,226,538,326.38|6,736,160,389.33
应付账款|36|10,746,469,338.86|11,585,975,832.15
预收款项|37|16,198.26|2,924,181,988.40
合同负债|38|3,415,991,717.80|
应付职工薪酬|39|377,289,290.60|427,195,463.92
应交税费|40|247,217,955.58|319,260,395.92
其他应付款|41|952,801,249.61|826,732,667.64
其中：应付利息||172,602,695.00|219,600,994.12
应付股利||72,858,349.66|2,591,031.25
持有待售负债|||
一年内到期的非流动负债|43|2,964,966,073.38|1,858,698,763.12
其他流动负债|44|444,055,471.36|
流动负债合计||30,374,033,887.57|28,404,205,500.48
非流动负债：|||
保险合同准备金|||
长期借款|45|2,549,000,000.00|2,839,000,000.00
应付债券|46|3,500,000,000.00|6,625,000,000.00
其中：优先股|||
永续债|||
长期应付款|48|320,675,874.22|584,647,599.57
长期应付职工薪酬|49|84,879,259.57|87,996,972.28
预计负债|50|21,405,522.97|21,405,522.97
递延收益|51|649,674,493.89|663,184,367.03
递延所得税负债|30|138,137,576.38|119,169,598.17
其他非流动负债|||
非流动负债合计||7,263,772,727.03|10,940,404,060.02
负债合计||37,637,806,614.60|39,344,609,560.50
所有者权益（或股东权益）：|||
实收资本（或股本）|53|10,946,549,616.00|10,946,549,616.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|55|8,202,222,661.18|8,202,267,564.49
减：库存股|56|319,958,380.44|
其他综合收益|57|-2,169,864.88|-3,284,704.24
专项储备|58|1,643,716.50|20,280,235.13
盈余公积|59|788,290,158.27|750,867,757.02
一般风险准备|||
未分配利润|60|1,516,580,996.90|831,339,732.28
归属于母公司所有者权益（或股东权益）合计||21,133,158,903.53|20,748,020,200.68
少数股东权益||9,716,006,716.01|9,441,330,128.39
所有者权益（或股东权益）合计||30,849,165,619.54|30,189,350,329.07
负债和所有者权益（或股东权益）总计||68,486,972,234.14|69,533,959,889.57
