page|97
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||15,602,031,413.76  13,835,391,165.48
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||41,294.42|103,879.95
收到其他与经营活动有关的现金||1,064,303,645.49|697,293,533.64
经营活动现金流入小计|||16,666,376,353.67  14,532,788,579.07
购买商品、接受劳务支付的现金|||13,331,727,695.15  11,465,594,033.57
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,686,794,225.74|1,639,070,747.08
支付的各项税费||80,156,487.17|52,111,013.74
支付其他与经营活动有关的现金||643,280,670.90|626,960,960.69
经营活动现金流出小计|||15,741,959,078.96  13,783,736,755.08
经营活动产生的现金流量净额||924,417,274.71|749,051,823.99
二、投资活动产生的现金流量：|||
收回投资收到的现金||280,000,000.00|360,761.84
取得投资收益收到的现金||69,701,145.42|174,227,357.15
处置固定资产、无形资产和其他长期资产收回的现金净额||163,584,013.97|603,239,405.52
处置子公司及其他营业单位收到||110,974,190.64|
page|98
的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||624,259,350.03|777,827,524.51
购建固定资产、无形资产和其他长期资产支付的现金||588,548,832.90|516,641,750.55
投资支付的现金||479,827,759.59|23,315,753.03
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||341,067,510.94|79,928,723.91
支付其他与投资活动有关的现金|||43,008,121.79
投资活动现金流出小计||1,409,444,103.43|662,894,349.28
投资活动产生的现金流量净额||-785,184,753.40|114,933,175.23
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||19,230,000.00|1,835,010,970.59
其中：子公司吸收少数股东投资收到的现金||19,230,000.00|34,900,000.00
取得借款收到的现金||3,582,590,935.40|4,371,729,964.38
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||3,601,820,935.40|6,206,740,934.97
偿还债务支付的现金||3,163,147,042.22|5,530,784,708.83
分配股利、利润或偿付利息支付的现金||222,959,759.48|209,608,277.13
其中：子公司支付给少数股东的股利、利润||3,307,877.79|3,266,857.93
支付其他与筹资活动有关的现金||49,954,551.69|7,487,190.85
筹资活动现金流出小计||3,436,061,353.39|5,747,880,176.81
筹资活动产生的现金流量净额||165,759,582.01|458,860,758.16
四、汇率变动对现金及现金等价物的影响||-4,858,623.10|5,519,546.45
五、现金及现金等价物净增加额||300,133,480.22|1,328,365,303.83
加：期初现金及现金等价物余额||3,432,471,749.89|2,104,106,446.06
六、期末现金及现金等价物余额||3,732,605,230.11|3,432,471,749.89
