page|75
|广东风华高新科技股份有限公司 2021 年年度报告全文||
|合并现金流量表||
编制单位：广东风华高新科技股份有限公司|||单位：元
项目|附注|2021 年度|2020 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,856,156,202.20|3,271,949,654.36
收到的税费返还||1,995,862.43|643,955.31
收到其他与经营活动有关的现金|六、60|364,982,469.07|332,447,290.25
经营活动现金流入小计||4,223,134,533.70|3,605,040,899.92
购买商品、接受劳务支付的现金||1,986,596,622.62|1,643,943,006.24
支付给职工以及为职工支付的现金||1,069,809,172.50|762,560,091.04
支付的各项税费||275,925,523.71|258,917,427.78
支付其他与经营活动有关的现金|六、60|256,101,176.97|274,027,927.20
经营活动现金流出小计||3,588,432,495.80|2,939,448,452.26
经营活动产生的现金流量净额||634,702,037.90|665,592,447.66
二、投资活动产生的现金流量：|||
收回投资收到的现金||44,989,167.50|433,000,000.00
取得投资收益收到的现金||23,059,321.33|37,552,060.03
处置固定资产、无形资产和其他长期资产收回的现金净额||63,957,600.00|345,500.00
收到其他与投资活动有关的现金|六、60|93,503,003.15|9,076,722.14
投资活动现金流入小计||225,509,091.98|479,974,282.17
购建固定资产、无形资产和其他长期资产支付的现金||2,206,144,367.97|1,256,577,413.58
投资支付的现金||32,885,003.60|89,500,000.00
支付其他与投资活动有关的现金|六、60|3,525,456.83|
投资活动现金流出小计||2,242,554,828.40|1,346,077,413.58
投资活动产生的现金流量净额||-2,017,045,736.42|-866,103,131.41
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||80,000,000.00|
取得借款收到的现金||1,170,294,618.99|780,643,952.60
收到其他与筹资活动有关的现金|六、60|999,758,333.33|
筹资活动现金流入小计||2,250,052,952.32|780,643,952.60
偿还债务支付的现金||520,964,184.78|61,000,000.00
分配股利、利润或偿付利息支付的现金||80,285,430.68|15,098,170.92
支付其他与筹资活动有关的现金|六、60|1,011,005,644.56|
筹资活动现金流出小计||1,612,255,260.02|76,098,170.92
筹资活动产生的现金流量净额||637,797,692.30|704,545,781.68
四、汇率变动对现金的影响||-1,523,748.42|-3,403,543.76
五、现金及现金等价物净增加额||-746,069,754.64|500,631,554.17
加：期初现金及现金等价物余额||1,951,850,750.27|1,451,219,196.10
六、期末现金及现金等价物余额||1,205,780,995.63|1,951,850,750.27
