page|90
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,370,587,198.83|1,113,600,028.14
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||6,047,262.58|8,356,911.76
收到其他与经营活动有关的现金||217,949,641.01|402,116,636.81
经营活动现金流入小计||1,594,584,102.42|1,524,073,576.71
购买商品、接受劳务支付的现金||939,921,569.07|479,457,090.83
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||168,199,176.49|169,999,514.67
支付的各项税费||63,041,432.34|51,130,883.43
支付其他与经营活动有关的现金||292,932,617.97|341,795,798.96
经营活动现金流出小计||1,464,094,795.87|1,042,383,287.89
经营活动产生的现金流量净额||130,489,306.55|481,690,288.82
二、投资活动产生的现金流量：|||
收回投资收到的现金||183,268,638.35|102,470,963.56
取得投资收益收到的现金||27,364,555.05|172,517.62
处置固定资产、无形资产和其他长期资产收回的现金净额|||241,000.00
处置子公司及其他营业单位收到的现金净额|||10,038,787.77
收到其他与投资活动有关的现金|||
投资活动现金流入小计||210,633,193.40|112,923,268.95
购建固定资产、无形资产和其他长期资产支付的现金||2,794,336.23|364,352,719.59
page|91
投资支付的现金||82,360,959.73|126,652,197.48
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||85,155,295.96|491,004,917.07
投资活动产生的现金流量净额||125,477,897.44|-378,081,648.12
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||18,500,000.00|96,000,000.00
其中：子公司吸收少数股东投资收到的现金||18,500,000.00|96,000,000.00
取得借款收到的现金||702,352,500.00|1,653,060,000.00
收到其他与筹资活动有关的现金||2,714,242,928.35|2,671,966,297.08
筹资活动现金流入小计||3,435,095,428.35|4,421,026,297.08
偿还债务支付的现金||1,522,466,169.03|2,143,725,387.50
分配股利、利润或偿付利息支付的现金||307,639,265.19|410,066,173.92
其中：子公司支付给少数股东的股利、利润|||1,000,000.00
支付其他与筹资活动有关的现金||2,225,388,137.29|1,444,793,565.33
筹资活动现金流出小计||4,055,493,571.51|3,998,585,126.75
筹资活动产生的现金流量净额||-620,398,143.16|422,441,170.33
四、汇率变动对现金及现金等价物的影响||-2,249,285.80|-245,648,645.52
五、现金及现金等价物净增加额||-366,680,224.97|280,401,165.51
加：期初现金及现金等价物余额||424,301,136.56|143,899,971.05
六、期末现金及现金等价物余额||57,620,911.59|424,301,136.56
