page|79
项目|附注五|2021 年度|2020 年度
一、营业总收入||1,878,544,861.14|1,508,010,015.20
其中：营业收入|（四十）|1,878,544,861.14|1,508,010,015.20
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,688,808,203.27|1,318,510,537.93
其中：营业成本|（四十）|1,418,927,063.32|1,108,834,040.15
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十一）|8,773,944.13|7,743,984.87
销售费用|（四十二）|101,686,475.85|74,257,937.30
管理费用|（四十三）|87,514,146.47|79,936,994.26
研发费用|（四十四）|57,979,088.81|44,607,474.30
财务费用|（四十五）|13,927,484.69|3,130,107.05
page|80
其中：利息费用||6,949,344.55|7,260,447.08
利息收入||9,706,273.18|5,836,289.35
加：其他收益|（四十六）|10,664,169.33|10,556,104.27
投资收益（损失以“－”号填列）|（四十七）|-253,030.16|4,565,151.04
其中：对联营企业和合营企业的投资收益||-309,867.61|-329,143.64
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（四十八）|1,090,930.46|
信用减值损失（损失以“-”号填列）|（四十九）|-2,139,532.02|-8,109,588.59
资产减值损失（损失以“-”号填列）|（五十）|-10,817,062.10|-16,613,586.92
资产处置收益（损失以“－”号填列）|（五十一）|-2,215,002.81|15,068,130.46
三、营业利润（亏损以“－”号填列）||186,067,130.57|194,965,687.53
加：营业外收入|（五十二）|8,907,079.91|4,486,677.59
减：营业外支出|（五十三）|1,440,719.57|2,053,292.55
四、利润总额（亏损总额以“－”号填列）||193,533,490.91|197,399,072.57
减：所得税费用|（五十四）|19,732,229.09|35,959,928.75
五、净利润（净亏损以“－”号填列）||173,801,261.82|161,439,143.82
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||173,801,261.82|161,439,143.82
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||176,533,555.23|161,369,630.98
2.少数股东损益（净亏损以“-”号填列）||-2,732,293.41|69,512.84
六、其他综合收益的税后净额||-16,149,802.63|3,045,172.33
（一）归属母公司所有者的其他综合收益的税后净额||-16,149,802.63|3,045,172.33
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
page|81
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-16,149,802.63|3,045,172.33
（1）权益法下可转损益的其他综合收益||-95,887.09|-458,028.29
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-16,053,915.54|3,503,200.62
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||157,651,459.19|164,484,316.15
（一）归属于母公司所有者的综合收益总额||160,383,752.60|164,414,803.31
（二）归属于少数股东的综合收益总额||-2,732,293.41|69,512.84
八、每股收益：|||
（一）基本每股收益(元/股)|（五十五）|1.07|1.02
（二）稀释每股收益(元/股)|（五十五）|1.07|1.02
