page|83
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,546,018,661.52|1,065,445,622.77
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||9,997,567.55|5,404,567.54
收到其他与经营活动有关的现金|十 六（五）|33,314,352.60|42,362,238.78
经营活动现金流入小计||1,589,330,581.67|1,113,212,429.09
购买商品、接受劳务支付的现金||997,849,271.45|550,763,330.89
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||267,876,282.68|213,175,476.29
支付的各项税费||87,734,983.20|58,570,575.56
page|84
支付其他与经营活动有关的现金|十 六（五）|78,469,044.33|66,287,297.07
经营活动现金流出小计||1,431,929,581.66|888,796,679.81
经营活动产生的现金流量净额||157,401,000.01|224,415,749.28
二、投资活动产生的现金流量：|||
收回投资收到的现金||31,776,436.35|574,859,429.49
取得投资收益收到的现金||274,210.80|6,058,091.94
处置固定资产、无形资产和其他长期资产收回的现金净额||923,062.65|10,741,158.93
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|十 六（五）|10,145,482.29|35,000,000.00
投资活动现金流入小计||43,119,192.09|626,658,680.36
购建固定资产、无形资产和其他长期资产支付的现金||106,956,346.45|114,574,217.79
投资支付的现金||96,619,745.68|305,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||23,184,498.38|
支付其他与投资活动有关的现金|十 六（五）|61,991,535.02|
投资活动现金流出小计||288,752,125.53|419,574,217.79
投资活动产生的现金流量净额||-245,632,933.44|207,084,462.57
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||174,166,624.86|
其中：子公司吸收少数股东投资收到的现金||8,350,000.00|
取得借款收到的现金||126,973,021.39|131,530,413.40
收到其他与筹资活动有关的现金|十 六（五）|2,416,935.21|550,000.00
筹资活动现金流入小计||303,556,581.46|132,080,413.40
偿还债务支付的现金||159,623,790.88|199,073,920.02
分配股利、利润或偿付利息支付的现金||86,083,250.28|54,505,356.39
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|十 六（五）|73,201,455.64|61,741,552.58
筹资活动现金流出小计||318,908,496.80|315,320,828.99
筹资活动产生的现金流量净额||-15,351,915.34|-183,240,415.59
四、汇率变动对现金及现金等价物的影响||-7,917,300.04|-575,367.13
五、现金及现金等价物净增加额||-111,501,148.81|247,684,429.13
加：期初现金及现金等价物余额||522,225,870.35|274,541,441.22
page|85
六、期末现金及现金等价物余额||410,724,721.54|522,225,870.35
