page|68
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||170,203,063.30|78,060,939.63
收到的税费返还||758,578.91|135,096.49
收到其他与经营活动有关的现金||49,821,625.39|67,793,505.87
经营活动现金流入小计||220,783,267.60|145,989,541.99
购买商品、接受劳务支付的现金||212,561,039.83|59,037,449.67
支付给职工及为职工支付的现金||52,912,579.50|90,995,834.76
支付的各项税费||19,801,407.52|8,960,617.87
支付其他与经营活动有关的现金||19,047,354.76|22,539,745.64
经营活动现金流出小计||304,322,381.61|181,533,647.94
经营活动产生的现金流量净额||-83,539,114.01|-35,544,105.95
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,243,000,000.00|682,481,191.23
取得投资收益收到的现金||1,103,755.51|1,166,408.16
处置固定资产、无形资产和其他长期资产收回的现金净额||325,312,445.16|441,782,577.70
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||23,687,066.16|35,980,013.80
投资活动现金流入小计||1,593,103,266.83|1,161,410,190.89
购建固定资产、无形资产和其他长期资产支付的现金||222,631,118.38|303,435,622.41
投资支付的现金||1,243,000,000.00|680,490,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||156,047,808.66|290,583,144.15
投资活动现金流出小计||1,621,678,927.04|1,274,508,766.56
投资活动产生的现金流量净额||-28,575,660.21|-113,098,575.67
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||831,950,000.00|357,542,500.00
收到其他与筹资活动有关的现金||296,000,000.00|9,095,388.17
筹资活动现金流入小计||1,127,950,000.00|366,637,888.17
偿还债务支付的现金||826,991,278.58|391,100,000.00
分配股利、利润或偿付利息支付的现金||52,187,447.90|41,694,718.19
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||60,900,000.00|10,328,539.34
筹资活动现金流出小计||940,078,726.48|443,123,257.53
筹资活动产生的现金流量净额||187,871,273.52|-76,485,369.36
四、汇率变动对现金及现金等价物的影响||1,552.33|-1,137,252.03
五、现金及现金等价物净增加额||75,758,051.63|-226,265,303.01
加：期初现金及现金等价物余额||9,118,287.34|235,383,590.35
六、期末现金及现金等价物余额||84,876,338.97|9,118,287.34
