page|104
项             目|附注|2020年1-12月|2019年1-12月
一、营业收入||18,022,145|17,016,938
利息净收入|五（三十五）|14,960,871|13,200,167
利息收入|五（三十五）|29,220,102|26,214,170
利息支出|五（三十五）|14,259,231|13,014,003
手续费及佣金净收入|五（三十六）|797,226|850,380
手续费及佣金收入|五（三十六）|1,262,864|1,186,554
手续费及佣金支出|五（三十六）|465,638|336,174
投资收益（损失以“-”号填列）|五（三十七）|2,966,694|1,999,164
其中：对联营企业和合营企业的投资收益|||
其他收益|五（三十八）|40,420|30,385
公允价值变动收益（损失以“-”号填列）|五（三十九）|-831,274|888,901
汇兑收益（损失以“-”号填列）||86,147|44,329
其他业务收入||3,744|5,682
资产处置收益（损失以“-”号填列）||-1,683|-2,070
二、营业支出||11,227,259|10,532,676
税金及附加|五（四十）|158,114|127,907
业务及管理费|五（四十一）|5,350,138|5,227,660
信用减值损失|五（四十二）|5,690,509|5,166,570
其他资产减值损失|五（四十三）|28,533|10,340
其他业务成本||-35|199
三、营业利润（亏损以“-”号填列）||6,794,886|6,484,262
加：营业外收入|五（四十四）|9,305|17,485
减：营业外支出|五（四十五）|39,469|51,325
四、利润总额（亏损以“-”号填列）||6,764,722|6,450,422
减：所得税费用|五（四十六）|1,204,205|1,191,864
五、净利润（亏损以“-”号填列）||5,560,517|5,258,558
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“-”填列）||5,560,517|5,258,558
2.终止经营净利润（净亏损以“-”填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“-”填列）||5,338,401|5,080,248
2.少数股东损益（净亏损以“-”填列）||222,116|178,310
六、其他综合收益的税后净额||-225,218|-84,494
（一）归属母公司所有者的其他综合收益的税后净额||-225,218|-84,494
1.不能重分类进损益的其他综合收益||-|-
2.将重分类进损益的其他综合收益||-225,218|-84,494
（1）权益法下可转损益的其他综合收益|||
（2）以公允价值计量且其变动计入其他综合收益的金融资产的公允价值变动||-217,112|-90,215
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）以公允价值计量且其变动计入其他综合收益的金融资产的信用减值准备||-8,106|5,721
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||5,335,299|5,174,064
（一）归属于母公司所有者的综合收益总额||5,113,183|4,995,754
（二）归属于少数股东的综合收益总额||222,116|178,310
八、每股收益|||
（一）基本每股收益||1.47|1.48
