page|90
项目|附 注|2019 年度|2018 年度
一、营业总收入|||8,766,761,075.94  10,283,639,028.29
其中：营业收入|1||8,766,761,075.94  10,283,639,028.29
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,635,239,556.48|9,933,620,544.11
其中：营业成本|1|6,905,440,332.67|8,227,412,775.15
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|2|56,248,288.71|67,172,979.73
销售费用|3|932,215,452.10|850,760,247.45
管理费用|4|412,408,167.49|472,306,141.17
研发费用|5|164,081,574.90|124,878,776.40
财务费用|6|164,845,740.61|191,089,624.21
其中：利息费用||171,756,527.43|189,527,865.39
利息收入||6,087,299.13|8,899,200.15
加：其他收益|7|41,311,615.68|89,291,528.60
投资收益（损失以“－”号填列）|8|1,060,333,235.73|40,308,261.28
其中：对联营企业和合营企业的投资收益||48,391,739.17|3,953,709.44
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|9|3,480,618.52|-10,641,563.18
信用减值损失（损失以“-”号|10|-75,207,560.60|
page|91
填列）|||
资产减值损失（损失以“-”号填列）|11|-48,887,251.68|-234,671,207.25
资产处置收益（损失以“－”号填列）|12|10,060,780.52|14,723,790.56
三、营业利润（亏损以“－”号填列）||1,122,612,957.63|249,029,294.19
加：营业外收入|13|13,341,630.94|1,987,399.10
减：营业外支出|14|15,326,194.11|7,880,125.31
四、利润总额（亏损总额以“－”号填列）||1,120,628,394.46|243,136,567.98
减：所得税费用|15|260,541,993.20|120,922,922.29
五、净利润（净亏损以“－”号填列）||860,086,401.26|122,213,645.69
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||223,302,004.23|-130,747,607.33
2.终止经营净利润（净亏损以“－”号填列）||636,784,397.03|252,961,253.02
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||861,314,742.19|22,784,139.99
2.少数股东损益（净亏损以“-”号填列）||-1,228,340.93|99,429,505.70
六、其他综合收益的税后净额|16|-22,357,220.19|5,118,259.02
（一）归属母公司所有者的其他综合收益的税后净额||-22,403,916.96|3,767,163.04
1．不能重分类进损益的其他综合收益||-21,347,521.00|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-21,347,521.00|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,056,395.96|3,767,163.04
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||2,224,654.68
（4）金融资产重分类计入其他综合收益的金额|||
page|92
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-1,056,395.96|1,542,508.36
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||46,696.77|1,351,095.98
七、综合收益总额||837,729,181.07|127,331,904.71
（一）归属于母公司所有者的综合收益总额||838,910,825.23|26,551,303.03
（二）归属于少数股东的综合收益总额||-1,181,644.16|100,780,601.68
八、每股收益：|||
（一）基本每股收益(元/股)||2.12|0.06
（二）稀释每股收益(元/股)||2.12|0.06
