page|65
项目|附注六|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||889,213,885.51|763,567,844.25
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|注释 78|435,477,757.39|283,618,495.50
经营活动现金流入小计||1,324,691,642.90|1,047,186,339.75
购买商品、接受劳务支付的现金||660,500,952.35|630,257,360.99
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||59,455,024.05|58,732,684.44
支付的各项税费||68,868,118.20|72,397,318.37
支付其他与经营活动有关的现金|注释 78|512,956,095.02|363,487,153.04
经营活动现金流出小计||1,301,780,189.62|1,124,874,516.84
经营活动产生的现金流量净额||22,911,453.28|-77,688,177.09
二、投资活动产生的现金流量：|||
收回投资收到的现金|||17,475,725.70
page|66
取得投资收益收到的现金||3,376,917.28|9,115,623.27
处置固定资产、无形资产和其他长期资产收回的现金净额||1,800.00|19,000.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释 78|670,000,000.00|1,125,000,000.00
投资活动现金流入小计||673,378,717.28|1,151,610,348.97
购建固定资产、无形资产和其他长期资产支付的现金||7,330,705.87|46,315,645.42
投资支付的现金||1,700,000.00|34,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释 78|750,000,000.00|1,125,000,000.00
投资活动现金流出小计||759,030,705.87|1,205,315,645.42
投资活动产生的现金流量净额||-85,651,988.59|-53,705,296.45
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,630,000.00|10,920,000.00
其中：子公司吸收少数股东投资收到的现金||4,630,000.00|10,920,000.00
取得借款收到的现金|||
收到其他与筹资活动有关的现金|注释 78|120,590,555.93|109,216,174.00
筹资活动现金流入小计||125,220,555.93|120,136,174.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||63,728,000.00|47,796,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释 78|134,634,637.70|117,438,514.49
筹资活动现金流出小计||198,362,637.70|165,234,514.49
筹资活动产生的现金流量净额||-73,142,081.77|-45,098,340.49
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-135,882,617.08|-176,491,814.03
加：期初现金及现金等价物余额||1,015,585,878.25|1,192,077,692.28
六、期末现金及现金等价物余额||879,703,261.17|1,015,585,878.25
