page|62
项目|附注六|2020 年度|2019 年度
一、营业总收入|||2,337,907,610.93 2,016,689,200.82
其中：营业收入|注释 61||2,337,907,610.93 2,016,689,200.82
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||1,807,242,997.18 1,570,333,973.74
其中：营业成本|注释 61||1,660,850,202.91 1,435,948,641.66
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 62|1,711,533.57|787,412.33
销售费用|||
管理费用|注释 64|72,652,241.05|79,306,772.69
研发费用|注释 65|75,354,376.13|62,334,865.66
财务费用|注释 66|-3,325,356.48|-8,043,718.60
其中：利息费用|||
利息收入||4,802,433.14|8,332,513.09
加：其他收益|注释 67|1,882,661.29|2,203,865.62
投资收益（损失以“－”号填列）|注释 68|-13,646,786.20|-3,005,263.10
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益||-20,868,584.03|-12,120,886.37
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填|||
page|63
列）|||
|信用减值损失（损失以“-”号填列）  注释 71|-13,049,046.99|-6,028,153.61
|资产减值损失（损失以“-”号填列）  注释 72|-46,571,616.20|
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||459,279,825.65|439,525,675.99
加：营业外收入|注释 74|29.13|
减：营业外支出|注释 75|40,996.49|244,358.07
四、利润总额（亏损总额以“－”号填列）||459,238,858.29|439,281,317.92
减：所得税费用|注释 76|66,823,489.79|63,226,383.66
五、净利润（净亏损以“－”号填列）||392,415,368.50|376,054,934.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||392,415,368.50|376,054,934.26
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||380,367,379.99|361,506,686.40
2.少数股东损益（净亏损以“-”号填列）||12,047,988.51|14,548,247.86
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||392,415,368.50|376,054,934.26
（一）归属于母公司所有者的综合收益总额||380,367,379.99|361,506,686.40
（二）归属于少数股东的综合收益总额||12,047,988.51|14,548,247.86
八、每股收益：|||
（一）基本每股收益(元/股)||1.19|1.13
（二）稀释每股收益(元/股)||1.19|1.13
