page|84
项  目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||683,019,901.93|590,453,211.41
收到的税费返还|||
收到其他与经营活动有关的现金|五、（四十|25,290,138.98|13,162,068.66
page|85
|五）||
经营活动现金流入小计||708,310,040.91|603,615,280.07
购买商品、接受劳务支付的现金||548,108,378.06|404,216,482.53
支付给职工以及为职工支付的现金||92,136,204.00|76,835,393.15
支付的各项税费||44,870,963.43|36,803,252.36
支付其他与经营活动有关的现金|五、（四十五）|48,176,929.61|41,219,838.22
经营活动现金流出小计||733,292,475.10|559,074,966.26
经营活动产生的现金流量净额||-24,982,434.19|44,540,313.81
二、投资活动产生的现金流量：|||
收回投资收到的现金||217,000,000.00|201,000,000.00
取得投资收益收到的现金||2,424,987.32|1,846,721.93
处置固定资产、无形资产和其他长期资产收回的现金净额||12,257.29|59,880.62
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||219,437,244.61|202,906,602.55
购建固定资产、无形资产和其他长期资产支付的现金||79,069,637.74|4,648,024.81
投资支付的现金||589,000,000.00|271,000,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||668,069,637.74|275,648,024.81
投资活动产生的现金流量净额||-448,632,393.13|-72,741,422.26
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||440,447,521.60|50,000.00
其中：子公司吸收少数股东投资收到的现金|||50,000.00
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||440,447,521.60|50,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||22,000,000.00|18,000,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|五、（四十五）|13,557,020.00|2,165,000.00
筹资活动现金流出小计||35,557,020.00|20,165,000.00
筹资活动产生的现金流量净额||404,890,501.60|-20,115,000.00
page|86
四、汇率变动对现金及现金等价物的影响||-521,608.84|825,033.68
五、现金及现金等价物净增加额||-69,245,934.56|-47,491,074.77
加：期初现金及现金等价物余额||143,683,652.81|191,174,727.58
六、期末现金及现金等价物余额||74,437,718.25|143,683,652.81
