page|64
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,359,361,719.57|5,104,476,987.38
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||16,241,254.79|20,821,288.49
收到其他与经营活动有关的现金|（七十九）|143,362,299.67|185,934,650.14
经营活动现金流入小计||5,518,965,274.03|5,311,232,926.01
购买商品、接受劳务支付的现金||4,293,579,120.01|3,884,929,262.02
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||654,786,469.18|517,553,493.40
支付的各项税费||151,715,190.97|148,818,570.97
支付其他与经营活动有关的现金|（七十九）|262,750,640.64|294,309,646.12
经营活动现金流出小计||5,362,831,420.80|4,845,610,972.51
经营活动产生的现金流量净额||156,133,853.23|465,621,953.50
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,584,769,750.00|708,500,000.00
取得投资收益收到的现金||38,538,249.13|46,467,991.55
处置固定资产、无形资产和其他长期资产收回的现金净额||148,372,189.97|2,520,232.00
处置子公司及其他营业单位收到的现金净额||4,441,705.49|3,392,553.57
收到其他与投资活动有关的现金|||
page|65
投资活动现金流入小计||1,776,121,894.59|760,880,777.12
购建固定资产、无形资产和其他长期资产支付的现金||258,451,669.52|67,791,105.63
投资支付的现金||1,820,461,093.86|1,320,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,078,912,763.38|1,387,791,105.63
投资活动产生的现金流量净额||-302,790,868.79|-626,910,328.51
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,100,000.00|26,090,000.00
其中：子公司吸收少数股东投资收到的现金||2,100,000.00|26,090,000.00
取得借款收到的现金||171,897,529.65|25,000,000.00
收到其他与筹资活动有关的现金|（七十九）|45,320,000.00|
筹资活动现金流入小计||219,317,529.65|51,090,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||102,465,475.38|97,370,365.36
其中：子公司支付给少数股东的股利、利润||25,889,039.24|23,515,998.79
支付其他与筹资活动有关的现金|（七十九）|76,676,239.49|
筹资活动现金流出小计||179,141,714.87|97,370,365.36
筹资活动产生的现金流量净额||40,175,814.78|-46,280,365.36
四、汇率变动对现金及现金等价物的影响||-24,007.48|325,767.91
五、现金及现金等价物净增加额||-106,505,208.26|-207,242,972.46
加：期初现金及现金等价物余额||2,357,595,203.07|2,564,838,175.53
六、期末现金及现金等价物余额||2,251,089,994.81|2,357,595,203.07
