page|94
项            目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,997,754,044.84|20,220,841,430.04
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||73,603,296.05|154,280,014.50
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|六、59|964,039,900.88|1,992,533,638.67
经营活动现金流入小计||7,035,397,241.77|22,367,655,083.21
购买商品、接受劳务支付的现金||4,643,056,687.25|15,842,588,606.90
客户贷款及垫款净增加额||-121,148,755.77|-80,248,534.87
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
为交易目的而持有的金融资产净增加额|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||738,575,213.21|927,908,172.89
支付的各项税费||338,142,446.60|708,998,057.65
支付其他与经营活动有关的现金|六、59|994,393,708.41|989,341,755.01
经营活动现金流出小计||6,593,019,299.70|18,388,588,057.58
经营活动产生的现金流量净额||442,377,942.07|3,979,067,025.63
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||119,908.56|809,959.70
处置固定资产、无形资产和其他长期资产收回的现金净额||50,632,733.50|114,414,552.11
处置子公司及其他营业单位收到的现金净额||357,714,157.66|2,664,168,776.12
收到其他与投资活动有关的现金|六、59|6,121,592,277.23|3,654,935,322.81
投资活动现金流入小计||6,530,059,076.95|6,434,328,610.74
购建固定资产、无形资产和其他长期资产支付的现金||36,589,617.61|360,640,323.96
投资支付的现金||2,690,832,000.00|219,300,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||315,992,970.00|
支付其他与投资活动有关的现金|六、59|11,281,901,966.79|7,438,137,200.00
投资活动现金流出小计||14,325,316,554.40|8,018,077,523.96
投资活动产生的现金流量净额||-7,795,257,477.45|-1,583,748,913.22
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款所收到的现金||4,481,596,364.09|7,288,814,402.61
发行债券收到的现金|||
收到其他与筹资活动有关的现金|六、59|1,508,949,822.25|1,507,176,793.23
筹资活动现金流入小计||5,990,546,186.34|8,795,991,195.84
偿还债务所支付的现金||6,687,027,885.93|8,092,885,180.62
分配股利、利润或偿付利息所支付的现金||617,851,410.47|690,908,815.11
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|六、59|20,559,476.31|30,471,403.31
筹资活动现金流出小计||7,325,438,772.71|8,814,265,399.04
筹资活动产生的现金流量净额||-1,334,892,586.37|-18,274,203.20
四、汇率变动对现金及现金等价物的影响||-624,714.14|-4,287,798.60
五、现金及现金等价物净增加额||-8,688,396,835.89|2,372,756,110.61
加：期初现金及现金等价物余额||9,796,525,935.50|7,423,769,824.89
六、期末现金及现金等价物余额||1,108,129,099.61|9,796,525,935.50
