page|78
项目|附注|2021 年度|2020 年度
一、营业总收入||40,310,521,723.63|42,905,970,995.45
其中：营业收入|七 (61)|40,213,521,116.61|42,830,768,142.95
利息收入|||
已赚保费||97,000,607.02|75,202,852.50
手续费及佣金收入|||
二、营业总成本||42,242,021,014.43|44,750,958,060.73
其中：营业成本|七 (61)|36,930,087,885.05|38,847,435,232.89
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
提取担保赔偿准备金||35,214,515.85|31,624,044.41
保单红利支出|||
分保费用|||
税金及附加|七 (62)|489,454,791.82|500,061,183.15
销售费用|七 (63)|1,437,266,668.91|1,537,828,110.02
管理费用|七 (64)|1,750,139,461.76|1,791,308,285.60
研发费用|七 (65)|1,374,109,970.82|1,676,691,229.41
财务费用|七 (66)|225,747,720.22|366,009,975.25
其中：利息费用||359,984,931.47|391,096,585.04
利息收入||156,412,528.22|116,941,219.65
加：其他收益|七 (67)|1,953,102,126.79|1,231,560,331.03
投资收益（损失以“－”号填列）|七 (68)|190,133,328.98|151,272,030.28
其中：对联营企业和合营企业的投资收益||177,210,531.38|100,631,860.26
以摊余成本计量的金融资产终止确认收益|||
page|79
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七 (70)|21,616,519.26|15,627,834.74
信用减值损失（损失以“-”号填列）|七 (71)|11,908,872.14|-104,652,819.77
资产减值损失（损失以“-”号填列）|七 (72)|-514,569,817.76|-549,563,057.22
资产处置收益（损失以“－”号填列）|七 (73)|433,247,988.52|1,227,153,352.16
三、营业利润（亏损以“－”号填列）||163,939,727.13|126,410,605.94
加：营业外收入|七 (74)|43,716,990.28|36,636,720.64
减：营业外支出|七 (75)|15,578,602.60|28,138,573.71
四、利润总额（亏损总额以“－”号填列）||192,078,114.81|134,908,752.87
减：所得税费用|七 (76)|179,037,612.28|-114,570,959.20
五、净利润（净亏损以“－”号填列）||13,040,502.53|249,479,712.07
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||13,040,502.53|249,479,712.07
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||199,999,353.78|142,613,889.99
2.少数股东损益（净亏损以“-”号填列）||-186,958,851.25|106,865,822.08
六、其他综合收益的税后净额|七 (77)|39,768,517.15|-6,709,763.35
（一）归属母公司所有者的其他综合收益的税后净额||37,356,143.39|-7,326,271.46
1．不能重分类进损益的其他综合收益||-5,495,961.51|-5,147,052.82
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-5,495,961.51|-5,147,052.82
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||42,852,104.90|-2,179,218.64
（1）权益法下可转损益的其他综合收益||17,316,294.24|
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
page|80
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||25,535,810.66|-2,179,218.64
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||2,412,373.76|616,508.11
七、综合收益总额||52,809,019.68|242,769,948.72
（一）归属于母公司所有者的综合收益总额||237,355,497.17|135,287,618.53
（二）归属于少数股东的综合收益总额||-184,546,477.49|107,482,330.19
八、每股收益：|||
（一）基本每股收益(元/股)||0.10|0.08
（二）稀释每股收益(元/股)||0.10|0.08
