page|61
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||13,894,516,821.07|9,651,927,836.99
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||161,034,136.68|158,809,507.93
经营活动现金流入小计||14,055,550,957.75|9,810,737,344.92
购买商品、接受劳务支付的现金||3,336,844,146.20|2,635,326,651.85
客户贷款及垫款净增加额|||
page|62
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,765,990,165.41|2,458,764,094.04
支付的各项税费||2,376,535,847.74|1,949,694,468.97
支付其他与经营活动有关的现金||1,116,063,481.35|733,308,842.05
经营活动现金流出小计||9,595,433,640.70|7,777,094,056.91
经营活动产生的现金流量净额||4,460,117,317.05|2,033,643,288.01
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||10,813,656.15|4,555,583.55
处置固定资产、无形资产和其他长期资产收回的现金净额||92,644,000.00|246,631,175.87
处置子公司及其他营业单位收到的现金净额|||30,074,758.09
收到其他与投资活动有关的现金|||
投资活动现金流入小计||103,457,656.15|281,261,517.51
购建固定资产、无形资产和其他长期资产支付的现金||422,937,707.38|1,051,280,473.19
投资支付的现金|||4,700,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||422,937,707.38|1,055,980,473.19
投资活动产生的现金流量净额||-319,480,051.23|-774,718,955.68
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||5,694,667,016.21|6,841,930,000.00
收到其他与筹资活动有关的现金||519,993,333.33|502,865,611.90
筹资活动现金流入小计||6,214,660,349.54|7,344,795,611.90
偿还债务支付的现金||7,750,947,196.84|7,603,748,435.37
分配股利、利润或偿付利息支付的现金||949,757,180.04|1,059,463,068.57
其中：子公司支付给少数股东的股利、利润||162,347,119.85|160,378,778.58
支付其他与筹资活动有关的现||448,509,438.58|
page|63
金|||
筹资活动现金流出小计||9,149,213,815.46|8,663,211,503.94
筹资活动产生的现金流量净额||-2,934,553,465.92|-1,318,415,892.04
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||1,206,083,799.90|-59,491,559.71
加：期初现金及现金等价物余额||417,620,966.61|477,112,526.32
六、期末现金及现金等价物余额||1,623,704,766.51|417,620,966.61
