page|162
资产|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产|||
货币资金|1|156,887,177|143,801,598
交易性金融资产|2|3,587,646|3,344,458
应收票据|3|10,305,274|7,636,443
应收款项融资|4|2,654,263|2,143,802
应收账款|5|112,138,537|99,382,305
预付款项|6|24,335,981|18,591,945
其他应收款|7|60,100,338|63,474,288
存货|8|194,891,575|159,891,368
合同资产|9|154,903,081|123,938,151
一年内到期的非流动资产|12、22|18,109,883|10,836,740
其他流动资产|10|17,900,227|17,236,252
流动资产合计||755,813,982|650,277,350
非流动资产|||
发放贷款及垫款|11|2,730,000|2,145,000
长期应收款|12|60,804,614|54,442,045
长期股权投资|13|49,644,634|28,978,555
债权投资||41|41
其他债权投资||-|100,513
其他非流动金融资产||1,643,494|779,049
其他权益工具投资|14|10,038,609|8,268,378
投资性房地产|15|5,357,757|5,644,080
固定资产|16|50,891,768|50,300,597
在建工程|17|5,614,803|4,428,384
使用权资产|18|5,678,711|
无形资产|19|59,871,943|50,667,006
开发支出||9,436|-
商誉|20|118,841|228,713
长期待摊费用||420,477|384,745
递延所得税资产|21|5,624,947|4,916,848
其他非流动资产|22|66,975,156|56,109,278
非流动资产合计||325,425,231|267,393,232
资产总计||1,081,239,213|917,670,582
page|163
负债和股东权益|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动负债|||
短期借款|23|42,749,266|61,781,084
吸收存款|24|3,820,235|5,881,497
应付票据|25|69,601,977|51,036,428
应付账款|26|325,785,304|274,354,876
预收款项||128,914|64,390
合同负债|27|108,506,589|89,276,585
应付职工薪酬|28|11,880,367|11,280,571
应交税费|29|6,970,004|6,948,114
其他应付款|30|70,116,812|55,429,042
一年内到期的非流动负债|31|34,672,076|23,218,971
其他流动负债|32|14,747,536|12,434,964
流动负债合计||688,979,080|591,706,522
非流动负债|||
长期借款|33|87,936,038|69,840,477
应付债券|34|26,143,894|37,458,422
租赁负债|35|3,160,980|
长期应付款|36|8,563,197|7,197,581
长期应付职工薪酬|37|233,175|407,145
预计负债||417,208|145,810
递延收益|38|2,842,220|2,263,783
递延所得税负债|21|507,813|233,522
其他非流动负债|39|434,034|1,082,465
非流动负债合计||130,238,559|118,629,205
负债合计||819,217,639|710,335,727
股东权益|||
股本|40|13,579,542|13,579,542
其他权益工具|41|40,189,093|20,392,922
资本公积|42|44,154,726|40,434,270
其他综合收益|43|(66,158)|(515,059)
专项储备|44|-|-
盈余公积|45|4,613,506|3,229,881
未分配利润|46|107,488,965|92,768,356
归属于母公司股东权益合计||209,959,674|169,889,912
少数股东权益||52,061,900|37,444,943
股东权益合计||262,021,574|207,334,855
负债和股东权益总计||1,081,239,213|917,670,582
page|164
项目|附注五|2019 年度|2018 年度
营业收入|47|830,452,157|730,123,045
减： 营业成本|47|750,365,068|658,711,266
税金及附加|48|4,633,550|4,805,880
销售费用|49|5,432,855|4,431,330
管理费用|50|18,151,260|17,235,632
研发费用|51|16,527,801|11,571,783
财务费用|52|3,632,348|3,910,313
其中：利息费用||6,693,276|5,680,164
利息收入||3,982,445|3,077,852
加： 其他收益|55|415,139|260,140
投资损失|56|(420,036)|(226,251)
其中：对联营企业和合营企业的投资收益||2,396,480|1,257,184
以摊余成本计量的金融资产终止确认损失||(2,908,505)|(1,627,411)
公允价值变动收益(损失)|57|656,543|(226,347)
资产减值损失|53|(1,493,799)|(179,635)
信用减值损失|54|(3,517,359)|(4,292,765)
资产处置收益||279,016|529,783
营业利润||27,628,779|25,321,766
加：营业外收入|58|974,713|1,096,998
减：营业外支出|59|576,842|1,313,502
利润总额||28,026,650|25,105,262
减：所得税费用|61|5,402,959|5,266,854
净利润||22,623,691|19,838,408
按经营持续性分类：|||
持续经营净利润||22,623,691|19,838,408
终止经营净利润||-|-
按所有权归属分类：|||
归属于母公司股东的净利润||20,197,378|17,935,281
少数股东损益||2,426,313|1,903,127
其他综合收益(损失)的税后净额|43||
归属于母公司股东的其他综合收益(损失)的税后净额||446,984|(338,677)
不能重分类进损益的其他综合收益(损失)|||
重新计量设定受益计划变动额||13,015|48,750
其他权益工具投资公允价值变动||301,561|(380,451)
将重分类进损益的其他综合收益(损失)|||
权益法下可转损益的其他综合收益(损失)||251,093|13,550
其他债权投资公允价值变动||(417)|513
金融资产重分类计入其他综合收益的金额||(5,082)|-
外币财务报表折算差额||(113,186)|(21,039)
归属于少数股东的其他综合收益(损失)的税后净额||(25,487)|(11,579)
综合收益总额||23,045,188|19,488,152
其中：|||
归属于母公司股东的综合收益总额||20,644,362|17,596,604
归属于少数股东的综合收益总额||2,400,826|1,891,548
每股收益|||
基本每股收益(人民币元/股)|62|1.40|1.26
稀释每股收益(人民币元/股)|62|1.33|1.23
page|165
项目|附注五|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||830,912,219|738,836,489
收到的税费返还||119,616|536,999
吸收存款及拆入资金净增加额||-|5,076,663
收到的其他与经营活动有关的现金|63(1)|16,512,485|13,280,074
经营活动现金流入小计||847,544,320|757,730,225
购买商品、接受劳务支付的现金||702,630,596|657,105,765
发放贷款及垫款净增加额||600,000|500,000
吸收存款及拆入资金净减少额||2,061,262|-
存放中央银行款项净增加额||1,346,240|1,090,359
支付给职工以及为职工支付的现金||63,879,466|57,431,142
支付的各项税费||26,148,753|25,592,749
支付的其他与经营活动有关的现金|63(2)|10,872,165|10,562,349
经营活动现金流出小计||807,538,482|752,282,364
经营活动产生(使用)的现金流量净额|64(1)|40,005,838|5,447,861
二、投资活动产生的现金流量：|||
