page|163
资                产|附注|2021 年 12 月 31 日 合并|2020 年 12 月 31 日 合并|2021 年 12 月 31 日 公司|2020 年 12 月 31 日 公司
|||||
流动资产|||||
货币资金|四(1)|17,967,374|25,887,751|12,332,224|12,356,124
交易性金融资产|四(2)|14,200,890|15,899,648|1,764,964|2,791,671
应收票据|四(3)、十六(1)|98,915|1,696,549|76,289|3,384,471
应收账款|四(4)、十六(2)|5,466,713|7,696,449|97,232,527|109,948,570
预付款项|四(5)|20,382,896|24,786,724|38,805,512|32,467,438
其他应收款|四(6)、十六(3)|1,446,460|1,241,863|29,141,207|27,068,577
存货|四(7)|12,289,891|24,251,743|7,468,338|16,054,132
合同资产||2,829|1,846|-|-
其他流动资产|四(8)|3,245,080|5,997,641|162,832|1,381,234
一年内到期的非流动资产|四(9)|178,285|23,392|-|10,388
流动资产合计||75,279,333|107,483,606|186,983,893|205,462,605
|||||
非流动资产|||||
长期应收款|四(10)|1,355,030|926,167|952,186|968,405
长期股权投资|四(13)、十六(4)|15,304,488|39,351,953|47,220,774|49,565,907
其他权益工具投资|四(11)|4,338,200|5,558,069|4,332,025|5,550,363
其他非流动金融资产|四(12)|629,977|1,975,740|176,602|1,975,740
投资性房地产|四(14)|7,484,573|6,886,199|779,199|522,113
固定资产|四(15)|13,327,550|18,099,415|1,624,776|2,038,845
在建工程|四(16)|3,849,908|3,462,978|-|9,580
使用权资产|四(17)|23,552,412|—|175,012|—
无形资产|四(18)|9,264,229|13,882,029|350,291|333,511
开发支出|四(18)|37,710|41,138|4,029|3,973
商誉|四(19)|5,454,650|6,385,345|-|-
长期待摊费用|四(20)|617,725|1,510,520|4,787|30,465
递延所得税资产|四(22)|9,737,454|5,670,490|846,090|-
其他非流动资产|四(21)|504,847|841,551|107,221|200,369
非流动资产合计||95,458,753|104,591,594|56,572,992|61,199,271
|||||
资产总计||170,738,086|212,075,200|243,556,885|266,661,876
page|164
负  债  及  股  东  权  益|附注|2021 年 12 月 31 日 合并|2020 年 12 月 31 日 合并|2021 年 12 月 31 日 公司|2020 年 12 月 31 日 公司
|||||
流动负债|||||
短期借款|四(24)|30,094,393|23,745,691|28,630,375|13,330,086
应付票据|四(25)|16,867,504|21,021,224|19,512,115|20,547,201
应付账款|四(26)|20,135,826|31,051,572|69,564,270|83,125,458
预收款项|四(27)|488,121|286,609|31,112|35,710
合同负债|四(28)|10,058,256|11,518,134|79,405,674|75,641,829
应付职工薪酬|四(29)|871,908|942,048|94,584|71,976
应交税费|四(30)|1,318,892|900,749|121,108|121,707
其他应付款|四(31)|16,454,591|15,800,050|5,306,495|6,632,184
一年内到期的非流动负债|四(32)|13,207,884|17,684,600|3,389,282|11,406,698
其他流动负债|四(33)|776,081|1,651,050|30,929|67,117
流动负债合计||110,273,456|124,601,727|206,085,944|210,979,966
|||||
非流动负债|||||
长期借款|四(34)|-|-|-|-
应付债券|四(35)|533,300|499,777|533,300|499,777
租赁负债|四(36)|24,375,629|—|98,731|—
长期应付款|四(37)|908,708|986,801|380,000|380,000
递延收益|四(38)|634,495|858,156|48,302|49,609
递延所得税负债|四(22)|2,077,166|6,886,085|-|1,484,590
其他非流动负债|四(39)|906,581|1,410,851|134,238|67,209
非流动负债合计||29,435,879|10,641,670|1,194,571|2,481,185
|||||
负债合计||139,709,335|135,243,397|207,280,515|213,461,151
|||||
股东权益|||||
股本|四(40)|9,310,040|9,310,040|9,310,040|9,310,040
资本公积|四(41)|33,103,448|33,228,244|36,967,741|37,092,537
减：库存股|四(42)|(2,009,568)|(2,305,900)|(2,009,568)|(2,305,900)
其他综合收益|四(43)|(2,968,096)|(1,355,258)|(2,012,874)|(1,094,266)
盈余公积|四(44)|1,809,757|1,809,757|1,809,757|1,809,757
一般风险准备||302,296|136,665|302,296|136,665
(累计亏损)/未分配利润|四(45)|(7,449,817)|36,033,899|(8,091,022)|8,251,892
归属于本公司股东权益合计||32,098,060|76,857,447|36,276,370|53,200,725
少数股东权益|六(1)(b)|(1,069,309)|(25,644)|-|-
股东权益合计||31,028,751|76,831,803|36,276,370|53,200,725
|||||
负债及股东权益总计||170,738,086|212,075,200|243,556,885|266,661,876
page|165
项                目|附注|2021 年度   合并|2020 年度   合并|2021 年度 公司|2020 年度 公司
|||||
