page|166
项                目|附注|2021 年度 合并|2020 年度 合并|2021 年度 公司|2020 年度 公司
|||||
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||223,263,218|303,799,735|73,901,779|170,515,312
收到其他与经营活动有关的现金|四(63)(a)|2,124,872|3,013,867|32,262,175|23,760,016
经营活动现金流入小计||225,388,090|306,813,602|106,163,954|194,275,328
购买商品、接受劳务支付的现金||(204,429,327)|(270,819,558)|(90,984,670)|(156,239,981)
支付给职工以及为职工支付的现金||(9,081,843)|(12,082,019)|(943,276)|(1,116,455)
支付的各项税费||(1,709,799)|(4,159,064)|(106,770)|(342,270)
支付其他与经营活动有关的现金|四(63)(b)|(16,597,348)|(21,374,807)|(19,111,968)|(35,817,908)
经营活动现金流出小计||(231,818,317)|(308,435,448)|(111,146,684)|(193,516,614)
经营活动(使用)/产生的现金流量净额|四(64)(a)|(6,430,227)|(1,621,846)|(4,982,730)|758,714
|||||
二、投资活动产生的现金流量|||||
收回投资收到的现金||7,603,014|39,488,493|2,918,816|35,354,221
取得投资收益所收到的现金||430,866|2,379,951|24,484|866,117
处置固定资产、无形资产和其他长期资产收回的现金净额||382,066|134,951|106,505|24,008
处置子公司所收到的现金净额|四(64)(b)|4,976,284|1,721,506|177,558|200,000
投资活动现金流入小计||13,392,230|43,724,901|3,227,363|36,444,346
购建固定资产、无形资产和其他长期资产支付的现金||(2,762,850)|(5,767,084)|(196,668)|(124,565)
投资支付的现金||(5,317,400)|(33,313,138)|(8,038,380)|(27,189,943)
取得子公司支付的现金净额|四(64)(b)|(15,900)|(67,409)|-|(637,574)
投资活动现金流出小计||(8,096,150)|(39,147,631)|(8,235,048)|(27,952,082)
投资活动产生的现金流量净额||5,296,080|4,577,270|(5,007,685)|8,492,264
|||||
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||100|3,000|-|-
其中：子公司吸收少数股东投资收到的现金||100|3,000|-|-
取得借款收到的现金||58,269,231|53,545,974|48,241,542|22,903,093
发行债券收到的现金||-|499,700|-|499,700
收到其他与筹资活动有关的现金|四(63)(c)|10,442,710|15,222,895|1,023,500|2,036,858
筹资活动现金流入小计||68,712,041|69,271,569|49,265,042|25,439,651
偿还债务支付的现金||(56,013,093)|(57,748,399)|(39,938,515)|(34,439,073)
分配股利、利润或偿付利息支付的现金||(1,593,031)|(2,700,801)|(1,020,435)|(1,992,538)
其中：子公司支付给少数股东的股利、利润||(26,150)|(30,870)|-|-
支付其他与筹资活动有关的现金|四(63)(d)|(17,205,503)|(18,063,437)|(4,507,583)|(767,483)
筹资活动现金流出小计||(74,811,627)|(78,512,637)|(45,466,533)|(37,199,094)
筹资活动(使用)/产生的现金流量净额||(6,099,586)|(9,241,068)|3,798,509|(11,759,443)
|||||
四、汇率变动对现金及现金等价物的影响||(167,886)|(70,386)|(3,185)|-
|||||
五、现金及现金等价物净减少额|四(64)(a)|(7,401,619)|(6,356,030)|(6,195,091)|(2,508,465)
加：年初现金及现金等价物余额|四(64)(a)|11,563,877|17,919,907|8,490,870|10,999,335
|||||
六、年末现金及现金等价物余额|四(64)(c)|4,162,258|11,563,877|2,295,779|8,490,870
