page|66
项目|附注|2021 年度|2020 年度
一、营业总收入|||1,992,472,427.53  1,972,351,946.25
其中：营业收入|七、61||1,992,472,427.53  1,972,351,946.25
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||1,890,351,712.59  1,906,731,794.66
其中：营业成本|七、61||1,540,846,541.34  1,548,622,623.69
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|18,773,450.91|22,146,268.38
销售费用|七、63|33,881,762.17|31,757,701.24
管理费用|七、64|190,003,857.07|195,424,503.51
研发费用|七、65|13,677,552.19|13,748,000.56
财务费用|七、66|93,168,548.91|95,032,697.28
page|67
其中：利息费用||89,253,355.79|100,075,499.56
利息收入||1,215,710.46|1,939,319.88
加：其他收益|七、67|6,974,911.34|8,753,907.92
|投资收益（损失以“－”号填列）  七、68|6,302,489.03|3,737,269.00
其中：对联营企业和合营企业的投资收益||-1,192,421.19|-3,187,027.76
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70||897,282.97
信用减值损失（损失以“-”号填列）|七、71|-10,825,596.36|2,996,297.38
资产减值损失（损失以“-”号填列）|七、72|-32,560,466.86|-12,678,726.70
资产处置收益（损失以“－”号填列）|七、73|69,474,401.35|260,636.79
三、营业利润（亏损以“－”号填列）||141,486,453.44|69,586,818.95
加：营业外收入|七、74|8,454,371.54|1,251,809.79
减：营业外支出|七、75|3,611,205.18|1,689,464.78
四、利润总额（亏损总额以“－”号填列）||146,329,619.80|69,149,163.96
减：所得税费用|七、76|33,076,742.60|35,027,375.26
五、净利润（净亏损以“－”号填列）||113,252,877.20|34,121,788.70
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||113,252,877.20|34,121,788.70
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||114,986,450.46|15,915,009.34
2.少数股东损益（净亏损以“-”号填列）||-1,733,573.26|18,206,779.36
六、其他综合收益的税后净额|七、77|-68,926,572.32|-108,867,513.50
（一）归属母公司所有者的其他综合收益的税后净额||-68,926,572.32|-108,867,513.50
page|68
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-68,926,572.32|-108,867,513.50
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-68,926,572.32|-108,867,513.50
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||44,326,304.88|-74,745,724.80
（一）归属于母公司所有者的综合收益总额||46,059,878.14|-92,952,504.16
（二）归属于少数股东的综合收益总额||-1,733,573.26|18,206,779.36
八、每股收益：|||
（一）基本每股收益(元/股)||0.0645|0.0089
（二）稀释每股收益(元/股)||0.0645|0.0089
