page|66
项目|附注七|2020 年度|2019 年度
一、营业总收入||57,783,367,039.83|49,874,086,874.95
其中：营业收入|61|57,783,367,039.83|49,874,086,874.95
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||28,776,077,425.53|25,959,547,802.90
其中：营业成本|61|21,149,454,266.44|18,697,294,123.93
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|1,192,929,347.63|1,168,814,152.25
销售费用|63|115,417,318.42|27,792,136.69
管理费用|64|1,292,798,651.45|813,629,745.43
研发费用|65|39,568,009.51|41,066,919.32
财务费用|66|4,985,909,832.08|5,210,950,725.28
其中：利息费用||5,166,955,172.60|5,200,957,545.39
利息收入||100,213,191.69|71,556,891.30
加：其他收益|67|5,886,834.66|2,606,789.45
投资收益（损失以“－”号填列）|68|4,052,756,076.57|3,074,753,621.99
其中：对联营企业和合营企业的投资收益||3,182,977,402.41|2,077,234,391.59
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|-172,887,058.21|-26,947,041.04
信用减值损失（损失以“-”号填列）|71|-1,492,867.05|3,342,701.66
资产减值损失（损失以“-”号填列）|72|-17,737,932.85|-35,595,283.18
资产处置收益（损失以“－”号填列）|73|22,038,670.15|26,792.08
三、营业利润（亏损以“－”号填列）||32,895,853,337.57|26,932,726,653.01
加：营业外收入|74|50,968,275.16|29,219,094.32
减：营业外支出|75|491,280,818.61|334,933,992.54
四、利润总额（亏损总额以“－”号填列）||32,455,540,794.12|26,627,011,754.79
page|67
减：所得税费用|76|5,949,278,995.30|5,059,564,654.60
五、净利润（净亏损以“－”号填列）||26,506,261,798.82|21,567,447,100.19
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||26,506,261,798.82|21,567,447,100.19
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||26,297,890,222.70|21,543,493,635.57
2.少数股东损益（净亏损以“-”号填列）||208,371,576.12|23,953,464.62
六、其他综合收益的税后净额||-2,342,891,062.80|407,999,197.81
（一）归属母公司所有者的其他综合收益的税后净额||-2,034,622,149.75|406,775,213.14
1．不能重分类进损益的其他综合收益||-618,339,810.10|251,672,950.90
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||2,747,070.92|46,955,233.27
（3）其他权益工具投资公允价值变动||-621,086,881.02|204,717,717.63
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,416,282,339.65|155,102,262.24
（1）权益法下可转损益的其他综合收益||-151,969,944.28|90,347,208.15
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,264,312,395.37|64,755,054.09
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-308,268,913.05|1,223,984.67
七、综合收益总额||24,163,370,736.02|21,975,446,298.00
（一）归属于母公司所有者的综合收益总额||24,263,268,072.95|21,950,268,848.71
（二）归属于少数股东的综合收益总额||-99,897,336.93|25,177,449.29
八、每股收益：|||
（一）基本每股收益(元/股)||1.1853|0.9792
（二）稀释每股收益(元/股)||1.1853|0.9792
