page|103
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||62,303,021,465.60|54,858,936,747.12
客户存款和同业存放款项净增加额||55,300,668,753.97|19,895,105,690.66
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||8,619,280,002.10|7,920,726,268.02
拆入资金净增加额|||500,000,000.00
回购业务资金净增加额||-336,971,048.69|845,267,586.37
代理买卖证券收到的现金净额||1,334,019,096.17|774,265,610.74
收到的税费返还||8,943,821.55|10,434,690.58
收到其他与经营活动有关的现金||4,689,163,665.24|5,333,476,337.67
经营活动现金流入小计||131,918,125,755.94|90,138,212,931.16
购买商品、接受劳务支付的现金||73,073,298,676.52|64,211,329,763.00
客户贷款及垫款净增加额||-1,453,054,278.46|5,040,790,965.67
存放中央银行和同业款项净增加额||1,060,389,172.39|312,981,250.79
支付原保险合同赔付款项的现金|||
为交易目的而持有的金融资产的净增加额||1,845,263,961.31|-1,038,440,409.38
拆出资金净增加额|||
支付利息、手续费及佣金的现金||2,058,335,773.09|1,491,438,688.57
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,371,388,964.61|1,873,456,572.66
支付的各项税费||4,580,654,969.73|4,852,258,397.06
支付其他与经营活动有关的现金||3,169,710,402.35|3,359,986,661.23
经营活动现金流出小计||86,705,987,641.54|80,103,801,889.60
经营活动产生的现金流量净额||45,212,138,114.40|10,034,411,041.56
二、投资活动产生的现金流量：|||
收回投资收到的现金||96,154,955,059.46|74,758,970,504.17
取得投资收益收到的现金||2,926,051,994.69|2,660,340,052.62
处置固定资产、无形资产和其他长期资产收回的现金净额||10,901,222,163.98|12,044,785,630.30
处置子公司及其他营业单位收到的现金净额||187,249,926.49|
page|104
收到其他与投资活动有关的现金|||
投资活动现金流入小计||110,169,479,144.62|89,464,096,187.09
购建固定资产、无形资产和其他长期资产支付的现金||1,585,283,422.03|2,657,583,622.38
投资支付的现金||139,667,389,440.07|71,978,461,422.11
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||-19,529,198.70|64,422,353.49
支付其他与投资活动有关的现金||30,250.00|76,500.00
投资活动现金流出小计||141,233,173,913.40|74,700,543,897.98
投资活动产生的现金流量净额||-31,063,694,768.78|14,763,552,289.11
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||7,126,743,660.19|3,103,378,367.37
其中：子公司吸收少数股东投资收到的现金|||3,015,122,014.37
取得借款收到的现金||92,353,443,272.34|68,990,512,934.52
发行债券收到的现金||29,448,407,281.24|46,289,924,568.32
收到其他与筹资活动有关的现金||1,336,087,025.65|5,472,999,366.50
筹资活动现金流入小计||130,264,681,239.42|123,856,815,236.71
偿还债务支付的现金||113,700,975,537.25|107,411,026,835.22
分配股利、利润或偿付利息支付的现金||8,761,511,311.33|8,391,939,173.82
其中：子公司支付给少数股东的股利、利润||1,167,844,501.89|
支付其他与筹资活动有关的现金||3,003,623,157.52|8,705,078,933.63
筹资活动现金流出小计||125,466,110,006.10|124,508,044,942.67
筹资活动产生的现金流量净额||4,798,571,233.32|-651,229,705.96
四、汇率变动对现金及现金等价物的影响||11,598,184.95|-300,261,053.85
五、现金及现金等价物净增加额||18,958,612,763.89|23,846,472,570.86
加：期初现金及现金等价物余额||106,687,819,845.51|82,841,347,274.65
六、期末现金及现金等价物余额||125,646,432,609.40|106,687,819,845.51
