page|99
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||63,641,759|63,737,397
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||194,673|351,304
收到其他与经营活动有关的现金|（五十）|3,794,244|3,263,701
经营活动现金流入小计||67,630,676|67,352,402
购买商品、接受劳务支付的现金||41,549,293|42,039,015
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||15,106,616|15,484,300
支付的各项税费||1,324,248|1,470,849
支付其他与经营活动有关的现金|（五十）|3,443,610|3,886,418
经营活动现金流出小计||61,423,767|62,880,582
经营活动产生的现金流量净额|（五十一）|6,206,909|4,471,820
二、投资活动产生的现金流量|||
收回投资收到的现金||10|
取得投资收益收到的现金||3,732|2,146
处置固定资产、无形资产和其他长期资产收回的现金净额||83,497|140,655
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||87,239|142,801
购建固定资产、无形资产和其他长期资产支付的现金||3,340,682|1,742,664
投资支付的现金|||9
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,340,682|1,742,673
投资活动产生的现金流量净额||-3,253,443|-1,599,872
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||60,848,383|53,601,812
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||60,848,383|53,601,812
偿还债务支付的现金||61,666,957|54,391,017
分配股利、利润或偿付利息支付的现金||611,439|827,362
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（五十）|518,194|1,263,535
筹资活动现金流出小计||62,796,590|56,481,914
筹资活动产生的现金流量净额||-1,948,207|-2,880,102
四、汇率变动对现金及现金等价物的影响||-53,305|-119,226
五、现金及现金等价物净增加额|（五十一）|951,954|-127,380
加：期初现金及现金等价物余额||1,523,352|1,650,732
六、期末现金及现金等价物余额|（五十一）|2,475,306|1,523,352
