page|93
||2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 12 月 31 日|2020 年 12 月 31 日
资产|附注|合并|合并|母公司|母公司
流动资产|||||
货币资金|五、1|12,498,617|7,920,852|12,314,124|6,464,509
衍生金融资产|五、2|81405||- 81,405|
应收账款|五、3，十四、1|1169,405|1,145,504|1,014,787|919,061
应收款项融资|五、4，十四、2|1072,690|1,217,114|624,584|745,262
预付款项|五、5|60577|33,741|42,024|30,972
其他应收款|五、6，十四、3|108728|41,299|69,053|26,932
存货|五、7|5923,525|3,888,746|5,726,264|3,685,456
其他流动资产|五、8|17329|3,057,587|4009|3,048,476
流动资产合计||20,932,276|17,304,843|19,876,250|14,920,668
|||||
非流动资产|||||
长期股权投资|五、9，十四、4|4188,888|5,497,834|5,492,265|6,797,666
其他权益工具投资||0|5000||-
投资性房地产|五、10|352188|367,586|381,540|396,676
固定资产|五、11，十四、5|11,328,065|11,733,065|10,933,023|11,299,527
在建工程|五、12|3,293,177|1,710,124|3,201,111|1,694,937
使用权资产|五、13|8|12,993|2205|10,366
无形资产|五、14|392608|412,576|273,719|286,005
长期待摊费用|五、15|775963|410,191|769,492|402,304
递延所得税资产|五、16|184143|252,121|178,084|238,040
其他非流动资产|五、17|5581,435|7,042,840|5,381,149|7,042,840
非流动资产合计||26,106,346|27,444,330|26,612,588|28,168,361
|||||
资产总计||47,038,622|44,749,173|46,488,838|43,089,029
page|94
||2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 12 月 31 日|2020 年 12 月 31 日
负债和股东权益|附注|合并|合并|母公司|母公司
流动负债|||||
短期借款|五、19|1,540,000|1,548,000|1,500,000|1,500,000
衍生金融负债|五、   2|23,804||- 23,804|
应付票据|五、20|830,006|139,360|720,513|96,196
应付账款|五、21|5,888,879|4,671,635|5,198,489|3,892,330
合同负债|五、22|430,882|496,521|383,624|425,385
应付职工薪酬|五、23|260,096|244,506|253,800|239,537
应交税费|五、24|4,070,663|3,385,910|4,043,002|3,346,544
其他应付款|五、25|1,287,064|1,664,812|2,499,313|1,805,186
一年内到期的非流动负债|五、26|23,029|9352|1604|7897
其他流动负债|五、27|1,441,320|3,072,150|1,438,157|3,064,189
流动负债合计||15,795,743|15,232,246|16,062,306|14,377,264
|||||
非流动负债|||||
长期借款|五、28|700,000|-|700,000|-
租赁负债|五、29|1384|3119|3|1911
递延收益|五、30|112,720|123,433|112,720|123,433
递延所得税负债|五、16|33,344|35,357||-
非流动负债合计||847,448|161,909|813,119|125,344
负债合计||16,643,191|15,394,155|16,875,425|14,502,608
page|95
||2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 12 月 31 日|2020 年 12 月 31 日
|附注|合并|合并|母公司|母公司
负债和股东权益（续）|||||
股东权益|||||
股本|一，五、31|10,823,814|10,823,814|10,823,814|10,823,814
资本公积|五、32|610,327|610,327|600,768|600,768
其他综合收益|五、33|59,425|6,326|59,425|6,326
专项储备|五、34|216,512|145,597|216,508|145,597
盈余公积|五、35|6,672,639|6,474,103|6,672,639|6,474,103
未分配利润|五、36|11,877,455|11,157,866|11,240,259|10,535,813
归属于母公司股东权益合计||30,260,172|29,218,033|29,613,413|28,586,421
少数股东权益|五、37|135,259|136,985|-|
股东权益合计||30,395,431|29,355,018|29,613,413|28,586,421
负债和股东权益总计||47,038,622|44,749,173|46,488,838|43,089,029
