page|114
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||38,937,318.47|154,416,253.18
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|115
保户储金及投资款净增加额|||
处置以公允价值计量且其变动计入当期损益的金融资产净増加额|||
收取利息、手续费及佣金的现金||2,965,965,829.72|2,231,886,050.60
拆入资金净增加额|||1,886,000,000.00
回购业务资金净增加额||1,074,922,228.72|
代理买卖证券收到的现金净额||933,969,461.21|
融出资金净减少额|||115,610,857.46
收到的税费返还|||
收到其他与经营活动有关的现金|七、88|3,843,511,829.59|1,637,396,112.87
经营活动现金流入小计||8,857,306,667.71|6,025,309,274.11
购买商品、接受劳务支付的现金||11,590,597.18|39,841,558.51
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
处置以公允价值计量且其变动计入当期损益的金融资产净减少额|||1,602,097,728.07
为交易目的而持有的金融资产净増加额||3,195,732,342.35|
拆出资金净增加额|||
回购业务资金净减少额|||3,253,849,461.24
拆入资金净减少额||800,000,000.00|
代理买卖证券支付的现金净额|||228,952,328.95
支付利息、手续费及佣金的现金||660,811,386.79|597,180,464.87
支付保单红利的现金|||
融出资金净増加额||1,002,534,085.49|
支付给职工及为职工支付的现金||932,525,316.47|877,516,996.14
支付的各项税费||670,257,747.98|581,363,832.97
支付其他与经营活动有关的现金|七、88|1,222,019,758.58|341,083,594.81
经营活动现金流出小计||8,495,471,234.84|7,521,885,965.56
经营活动产生的现金流量净额||361,835,432.87|-1,496,576,691.45
二、投资活动产生的现金流量：|||
收回投资收到的现金||643,391,000.00|1,063,454,744.11
取得投资收益收到的现金||3,134,299.71|11,920,895.02
处置固定资产、无形资产和其他长期资产收回的现金净额||11,127.29|460.00
page|116
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、88||2,257,979.00
投资活动现金流入小计||646,536,427.00|1,077,634,078.13
购建固定资产、无形资产和其他长期资产支付的现金||101,819,453.55|52,312,043.50
投资支付的现金||3,326,287,000.00|797,633,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、88||2,575,000.00
投资活动现金流出小计||3,428,106,453.55|852,520,043.50
投资活动产生的现金流量净额||-2,781,570,026.55|225,114,034.63
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||13,900,000.00|
其中：子公司吸收少数股东投资收到的现金||13,900,000.00|
取得借款收到的现金|||
发行债券收到的现金||6,815,070,000.00|5,540,000,000.00
收到其他与筹资活动有关的现金||769,346,924.84|
筹资活动现金流入小计||7,598,316,924.84|5,540,000,000.00
偿还债务支付的现金||2,493,820,000.00|2,925,000,000.00
分配股利、利润或偿付利息支付的现金||400,597,248.57|269,971,858.12
其中：子公司支付给少数股东的股利、利润|||827,190.00
支付其他与筹资活动有关的现金|七、88|1,520,507,747.89|155,367,712.59
筹资活动现金流出小计||4,414,924,996.46|3,350,339,570.71
筹资活动产生的现金流量净额||3,183,391,928.38|2,189,660,429.29
四、汇率变动对现金及现金等价物的影响||283,168.53|741,228.25
五、现金及现金等价物净增加额||763,940,503.23|918,939,000.72
加：期初现金及现金等价物余额||7,073,823,321.22|6,154,884,320.50
六、期末现金及现金等价物余额||7,837,763,824.45|7,073,823,321.22
