page|120
资产|附注六|合并||母公司|
||2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 12 月 31 日|2020 年 12 月 31 日
货币资金|1|20,045,967,467.62|15,899,247,026.55|14,829,538,665.30|12,840,283,934.37
其中：客户存款||13,529,328,654.44|10,692,237,509.94|9,690,496,975.04|8,496,453,300.58
结算备付金|2|2,611,071,698.25|1,833,879,426.19|2,735,680,631.84|1,880,954,385.82
其中：客户备付金||2,318,144,270.09|1,490,804,971.99|2,291,788,599.37|1,414,324,826.55
融出资金|3|8,854,460,419.01|7,438,017,435.03|8,854,411,072.72|7,438,017,435.03
衍生金融资产|4|31,905,685.76|1,447,255.00|40,385,587.45|-
存出保证金|5|3,708,880,946.69|2,560,786,147.60|279,579,190.09|94,079,995.76
应收款项|6|561,676,743.54|170,083,256.66|597,421,932.14|118,199,272.39
买入返售金融资产|7|3,648,691,533.47|4,760,406,244.06|3,456,407,637.23|4,527,111,637.75
金融投资：|||||
交易性金融资产|8|20,306,542,648.80|19,139,226,071.28|18,396,920,188.12|15,670,327,908.15
债权投资|9|-|37,559,726.01|103,775,342.49|-
其他债权投资|10|13,117,814,271.92|18,049,428,783.31|13,117,814,271.92|18,049,428,783.31
其他权益工具投资|11|75,000,000.00|75,000,000.00|75,000,000.00|75,000,000.00
长期股权投资|12|392,820,104.67|255,827,137.99|1,656,549,685.40|1,578,549,685.40
投资性房地产|13|16,832,779.99|18,099,712.15|16,832,779.99|18,099,712.15
固定资产|14|1,388,577,485.78|1,423,850,906.33|1,339,001,837.02|1,377,167,007.03
使用权资产|15|170,305,102.79||111,868,288.38|
无形资产|16|152,606,431.97|134,192,108.51|135,483,054.59|117,086,737.16
商誉|17|22,084,264.01|22,096,264.01|13,574,980.76|13,574,980.76
递延所得税资产|18|569,130,937.92|417,698,858.55|562,595,060.23|408,134,942.06
其他资产|19|193,531,182.94|316,896,161.61|134,408,574.01|208,483,013.07
资产总计||75,867,899,705.13|72,553,742,520.84|66,457,248,779.68|64,414,499,430.21
page|121
负债和股东权益|附注六|合并||母公司|
||2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 12 月 31 日|2020 年 12 月 31 日
负债：|||||
应付短期融资款|22|4,876,189,002.80|3,976,581,075.21|4,876,189,002.80|3,976,581,075.21
拆入资金|23|4,990,973,581.22|4,401,787,250.04|4,990,973,581.22|4,401,787,250.04
交易性金融负债|24|1,525,049,827.69|3,929,234,532.72|927,672,402.68|1,323,575,625.72
衍生金融负债|4|163,003,770.42|693,270.00|142,656,014.42|605,430.00
卖出回购金融资产款|25|15,841,429,135.40|18,190,312,862.45|15,820,038,425.03|18,113,245,249.80
代理买卖证券款|26|18,099,058,233.40|13,608,842,283.64|11,807,488,378.43|9,800,648,444.90
应付职工薪酬|27|1,153,960,169.63|985,827,323.62|811,554,230.18|791,255,504.67
应交税费|28|61,303,057.57|132,669,776.41|34,947,831.34|103,242,442.94
应付款项|29|2,088,451,184.78|90,804,764.45|1,932,833,941.89|18,172,989.06
合同负债|30|11,116,963.32|39,145,826.98|6,097,723.61|6,019,272.24
预计负债|31|30,247,757.99|-|30,247,757.99|-
应付债券|32|7,306,850,085.06|7,878,310,751.70|7,306,850,085.06|7,878,310,751.70
租赁负债|33|166,491,146.32||107,009,681.53|
递延所得税负债|18|75,602,060.61|23,572,587.04|-|-
其他负债|34|259,561,043.63|260,507,564.15|125,305,898.20|159,497,655.45
负债合计||56,649,287,019.84|53,518,289,868.41|48,919,864,954.38|46,572,941,691.73
股东权益：|||||
股本|35|5,444,525,514.00|5,444,525,514.00|5,444,525,514.00|5,444,525,514.00
资本公积|36|8,990,140,729.53|8,990,140,729.53|8,994,510,695.89|8,994,510,695.89
其他综合收益|37|18,012,919.08|43,756,041.37|18,012,919.08|43,756,041.37
盈余公积|38|747,815,144.31|710,323,917.23|747,815,144.31|710,323,917.23
一般风险准备|39|1,758,322,295.71|1,636,337,979.02|1,528,473,696.81|1,449,473,260.51
未分配利润|40|1,606,396,239.17|1,654,595,448.30|804,045,855.21|1,198,968,309.48
归属于母公司股东权益合计||18,565,212,841.80|18,479,679,629.45||
少数股东权益||653,399,843.49|555,773,022.98||
股东权益合计||19,218,612,685.29|19,035,452,652.43|17,537,383,825.30|17,841,557,738.48
负债和股东权益总计||75,867,899,705.13|72,553,742,520.84|66,457,248,779.68|64,414,499,430.21
page|122
项目|附注六|合并||母公司|
||2021 年度|2020 年度|2021 年度|2020 年度
一、营业收入||5,170,261,555.13|4,482,015,217.40|2,706,154,876.25|3,066,516,250.78
利息净收入|41|107,802,406.18|408,753,428.31|1,557,423.98|323,352,280.52
其中：利息收入||1,311,866,255.22|1,535,579,900.44|1,187,826,202.97|1,442,026,771.61
利息支出||1,204,063,849.04|1,126,826,472.13|1,186,268,778.99|1,118,674,491.09
手续费及佣金净收入|42|2,322,367,344.72|1,963,585,461.30|1,305,707,168.75|1,417,405,152.78
其中：经纪业务手续费净收入||962,627,290.34|822,400,148.34|689,588,112.33|627,516,417.68
投资银行业务手续费净收入||355,862,935.93|421,624,144.87|355,862,935.93|421,624,144.87
资产管理业务手续费净收入||229,367,284.91|338,719,339.36|236,376,982.47|347,399,723.73
投资收益|43|1,389,727,565.09|1,386,118,974.62|1,333,489,757.39|1,275,539,000.24
其中：对联营企业和合营企业的投资收益(损失以“-”号填列)||62,999,632.51|-6,638,181.72|-|-
以摊余成本计量的金融资产终止确认产生的投资收益(损失以“-”号填列)||-|-45,770,116.39|-|-45,770,116.39
其他收益|44|21,926,369.09|25,090,974.50|12,310,856.82|7,926,046.94
公允价值变动收益|45|357,301,445.97|66,034,699.39|42,312,150.34|34,333,679.04
汇兑收益(损失以“-”号填列)||-1,436,843.58|-2,160,368.57|-310,602.83|-665,991.03
其他业务收入|46|972,327,856.63|634,609,653.20|10,839,275.35|8,643,687.64
资产处置收益(损失以“-”号填列)|47|245,411.03|-17,605.35|248,846.45|-17,605.35
二、营业支出||3,979,652,427.37|3,432,715,218.17|2,205,922,023.74|2,278,329,181.04
税金及附加|48|29,023,560.87|23,113,079.47|20,477,016.17|19,183,396.92
业务及管理费|49|2,575,816,719.10|2,232,353,608.51|1,779,810,991.68|1,729,100,220.59
信用减值损失|50|404,869,834.20|528,717,632.09|404,657,538.63|529,088,382.75
其他资产减值损失|51|17,028,418.20|39,500,000.00|-|-
其他业务成本|52|952,913,895.00|609,030,898.10|976,477.26|957,180.78
三、营业利润(亏损以“-”号填列)||1,190,609,127.76|1,049,299,999.23|500,232,852.51|788,187,069.74
加：营业外收入|53|14,198,766.85|3,703,983.22|8,585,116.54|1,078,307.53
减：营业外支出|53|57,185,157.31|11,755,065.06|54,193,368.16|8,354,950.40
