page|77
项目|附注五|本期金额|上期金额（已重述）
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||104,440,688|101,597,791
收到的税费返还||115,592|38,604
收到其他与经营活动有关的现金|（五十五）|2,700,930|2,345,605
经营活动现金流入小计||107,257,210|103,982,000
购买商品、接受劳务支付的现金||72,832,829|74,032,436
支付给职工以及为职工支付的现金||6,172,216|5,506,643
支付的各项税费||4,840,277|4,730,670
支付其他与经营活动有关的现金|（五十五）|2,035,007|1,724,758
经营活动现金流出小计||85,880,329|85,994,507
经营活动产生的现金流量净额|（五十六）|21,376,881|17,987,493
二、投资活动产生的现金流量|||
收回投资收到的现金||73,280|350,764
取得投资收益收到的现金||308,927|397,201
处置固定资产、无形资产和其他长期资产收回的现金净额||151,377|62,538
收到其他与投资活动有关的现金|（五十五）|149,715|385,157
投资活动现金流入小计||683,299|1,195,660
购建固定资产、无形资产和其他长期资产支付的现金||15,089,119|17,262,399
投资支付的现金||277,207|181,289
支付其他与投资活动有关的现金|（五十五）|102,939|234,602
投资活动现金流出小计||15,469,265|17,678,290
投资活动产生的现金流量净额||-14,785,966|-16,482,630
三、筹资活动产生的现金流量|||
吸收投资收到的现金||9,428,028|9,479,122
其中：子公司吸收少数股东投资收到的现金||2,428,028|494,122
取得借款收到的现金||76,223,373|79,472,335
筹资活动现金流入小计||85,651,401|88,951,457
偿还债务支付的现金||84,348,776|84,385,844
分配股利、利润或偿付利息支付的现金||7,491,106|6,699,398
其中：子公司支付给少数股东的股利、利润||566,183|253,385
支付其他与筹资活动有关的现金|（五十五）|638,292|108,244
筹资活动现金流出小计||92,478,174|91,193,486
筹资活动产生的现金流量净额||-6,826,773|-2,242,029
四、汇率变动对现金及现金等价物的影响||-|-
五、现金及现金等价物净增加额||-235,858|-737,166
加：期初现金及现金等价物余额||6,701,418|7,438,584
六、期末现金及现金等价物余额||6,465,560|6,701,418
