page|75
项目|附注五|本期金额|上期金额（已重述）
一、营业总收入||93,654,431|89,313,661
其中：营业收入|（四十三）|93,654,431|89,313,661
二、营业总成本||88,510,062|86,652,714
其中：营业成本|（四十三）|80,482,483|78,281,329
税金及附加|（四十四）|1,119,048|1,122,888
管理费用|（四十五）|1,719,152|1,888,030
财务费用|（四十六）|5,189,379|5,360,467
加：其他收益|（三十五）、（五十九）|513,090|425,109
投资收益（损失以“-”号填列）|（四十七）|780,544|911,177
其中：对联营企业和合营企业的投资收益|（四十七）|757,145|646,900
公允价值变动收益（损失以“-”号填列）|（四十八）|-9,690|-17,220
信用减值损失（损失以“-”号填列）|（四十九）|-151,156|-261,379
资产减值损失（损失以“-”号填列）|（五十）|-781,877|-121,193
资产处置收益（损失以“-”号填列）|（五十一）|-2,008|23,043
三、营业利润（亏损以“-”号填列）||5,493,272|3,620,484
加：营业外收入|（五十二）|264,274|116,516
减：营业外支出|（五十三）|220,971|531,153
四、利润总额（亏损总额以“-”号填列）||5,536,575|3,205,847
减：所得税费用|（五十四）|1,098,031|897,533
五、净利润（净亏损以“-”号填列）||4,438,544|2,308,314
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||4,438,544|2,308,314
2．终止经营净利润（净亏损以“-”号填列）||-|-
（二）按所有权归属分类|||
1．归属于公司股东的净利润（净亏损以“-”号填列）||3,406,920|1,725,565
2．少数股东损益（净亏损以“-”号填列）||1,031,624|582,749
六、其他综合收益的税后净额||22,375|-15,894
归属于公司股东的其他综合收益的税后净额||21,627|-15,362
（一）将重分类进损益的其他综合收益|（三十九）|21,627|-15,362
1．权益法下可转损益的其他综合收益||21,627|-15,362
归属于少数股东的其他综合收益的税后净额||748|-532
七、综合收益总额||4,460,919|2,292,420
归属于公司股东的综合收益总额||3,428,547|1,710,203
归属于少数股东的综合收益总额||1,032,372|582,217
八、每股收益：|||
（一）基本每股收益（元/股）||0.29|0.16
（二）稀释每股收益（元/股）||不适用|不适用
