page|136
项目|附 注|2021 年度|2020 年度
一、营业总收入||5,809,075,572.53|4,161,174,135.75
其中：营业收入|七、61|5,809,075,572.53|4,161,174,135.75
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||6,516,101,227.22|4,773,846,681.82
其中：营业成本|七、61|2,322,894,595.98|1,682,266,019.39
利息支出|||
手续费及佣金支出|||
page|137
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|48,068,288.67|38,797,322.40
销售费用|七、63|1,761,010,581.53|1,320,084,434.00
管理费用|七、64|652,112,160.41|526,184,850.68
研发费用|七、65|1,748,403,260.54|1,228,089,157.57
财务费用|七、66|-16,387,659.91|-21,575,102.22
其中：利息费用||30,735,559.70|4,398,539.72
利息收入||65,353,762.92|28,250,876.78
加：其他收益|七、67|247,974,597.03|209,284,942.95
投资收益（损失以“－”号填列）|七、68|139,113,312.88|181,957,191.25
其中：对联营企业和合营企业的投资收益||-41,513,954.57|15,816,600.51
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||31,042,619.80|38,095,212.00
信用减值损失（损失以“-”号填列）|七、71|-199,143,419.86|-83,585,351.31
资产减值损失（损失以“-”号填列）|七、72|-68,711,057.73|-60,680,628.61
资产处置收益（损失以“－”号填列）|七、73|693,695.34|1,308,404.73
三、营业利润（亏损以“－”号填列）||-556,055,907.23|-326,292,775.06
加：营业外收入|七、74|10,964,141.83|1,136,588.10
减：营业外支出|七、75|9,517,442.14|17,849,575.90
四、利润总额（亏损总额以“－”号填列）||-554,609,207.54|-343,005,762.86
减：所得税费用|七、76|-639,523.78|-2,269,594.73
page|138
五、净利润（净亏损以“－”号填列）||-553,969,683.76|-340,736,168.13
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-553,969,683.76|-340,736,168.13
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-554,749,572.44|-334,366,055.61
2.少数股东损益（净亏损以“-”号填列）||779,888.68|-6,370,112.52
六、其他综合收益的税后净额||39,736,753.14|31,851,038.60
（一）归属母公司所有者的其他综合收益的税后净额||39,736,753.14|31,851,038.60
1．不能重分类进损益的其他综合收益||39,419,285.14|32,061,806.60
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||39,419,285.14|32,061,806.60
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||317,468.00|-210,768.00
（1）权益法下可转损益的其他综合收益||317,468.00|-210,768.00
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-514,232,930.62|-308,885,129.53
page|139
（一）归属于母公司所有者的综合收益总额||-515,012,819.30|-302,515,017.01
（二）归属于少数股东的综合收益总额||779,888.68|-6,370,112.52
八、每股收益：|||
（一）基本每股收益(元/股)||-0.82|-0.54
（二）稀释每股收益(元/股)||-0.82|-0.54
