page|140
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,514,223,586.70|3,658,799,423.51
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
page|141
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||155,665,575.14|125,711,515.91
收到其他与经营活动有关的现金||268,118,173.37|257,614,214.59
经营活动现金流入小计||4,938,007,335.21|4,042,125,154.01
购买商品、接受劳务支付的现金||2,032,982,118.34|1,363,095,971.37
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,926,162,983.99|2,118,394,823.28
支付的各项税费||289,507,590.03|301,542,741.71
支付其他与经营活动有关的现金||991,315,772.65|947,647,960.97
经营活动现金流出小计||6,239,968,465.01|4,730,681,497.33
经营活动产生的现金流量净额||-1,301,961,129.80|-688,556,343.32
二、投资活动产生的现金流量：|||
收回投资收到的现金||212,958,483.24|3,278,697,972.75
取得投资收益收到的现金||9,913,566.08|21,026,379.93
处置固定资产、无形资产和其他长期资产收回的现金净额||1,057,834.60|4,067,245.63
处置子公司及其他营业单位收到的现金净额||1.00|
收到其他与投资活动有关的现金||1,746,997,890.41|47,630,114.36
投资活动现金流入小计||1,970,927,775.33|3,351,421,712.67
购建固定资产、无形资产和其他长期资产支付的现金||249,982,437.72|298,138,589.37
投资支付的现金||563,670,000.00|3,606,187,274.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||271,873,738.21|38,903,044.84
支付其他与投资活动有关的现金||1,691,451,787.59|30,756,020.00
投资活动现金流出小计||2,776,977,963.52|3,973,984,928.21
投资活动产生的现金流量净额||-806,050,188.19|-622,563,215.54
page|142
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||120,840,076.00|5,433,676,452.80
其中：子公司吸收少数股东投资收到的现金|||700,000.00
取得借款收到的现金||2,134,659,868.24|424,680,665.46
收到其他与筹资活动有关的现金||29,471,090.80|13,489,761.23
筹资活动现金流入小计||2,284,971,035.04|5,871,846,879.49
偿还债务支付的现金||2,175,423,474.00|424,680,665.46
分配股利、利润或偿付利息支付的现金||30,099,894.74|25,418,292.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||287,919,061.57|96,317,121.11
筹资活动现金流出小计||2,493,442,430.31|546,416,078.57
筹资活动产生的现金流量净额||-208,471,395.27|5,325,430,800.92
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-2,316,482,713.26|4,014,311,242.06
加：期初现金及现金等价物余额||5,236,309,724.75|1,221,998,482.69
六、期末现金及现金等价物余额||2,919,827,011.49|5,236,309,724.75
