page|96
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||891,549,484.14|972,235,337.28
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||12,480,149.93|16,951,448.20
收到其他与经营活动有关的现金|(七十九)|60,457,731.33|59,951,241.74
经营活动现金流入小计||964,487,365.40|1,049,138,027.22
购买商品、接受劳务支付的现金||165,998,993.37|212,564,493.41
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||342,051,433.92|308,351,348.75
支付的各项税费||83,682,078.09|113,229,873.55
支付其他与经营活动有关的现金|(七十九)|313,719,885.00|396,343,230.86
经营活动现金流出小计||905,452,390.38|1,030,488,946.57
经营活动产生的现金流量净额||59,034,975.02|18,649,080.65
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,149,882.02|
取得投资收益收到的现金|||906,842.25
处置固定资产、无形资产和其他长期资产收回的现金净额||7,933.96|228,023.42
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,157,815.98|1,134,865.67
购建固定资产、无形资产和其他长期资产||19,594,929.01|13,176,675.99
page|97
支付的现金|||
投资支付的现金||20,000,000.00|2,844,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||39,594,929.01|16,020,675.99
投资活动产生的现金流量净额||-37,437,113.03|-14,885,810.32
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||458,000,000.00|460,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||458,000,000.00|460,000,000.00
偿还债务支付的现金||432,000,000.00|485,901,046.25
分配股利、利润或偿付利息支付的现金||35,954,312.52|40,104,391.73
其中：子公司支付给少数股东的股利、利润|||3,448,878.55
支付其他与筹资活动有关的现金|(七十九)||106.19
筹资活动现金流出小计||467,954,312.52|526,005,544.17
筹资活动产生的现金流量净额||-9,954,312.52|-66,005,544.17
四、汇率变动对现金及现金等价物的影响||-1,362,663.71|1,530,074.74
五、现金及现金等价物净增加额||10,280,885.76|-60,712,199.10
加：期初现金及现金等价物余额||296,531,120.00|357,243,319.10
六、期末现金及现金等价物余额||306,812,005.76|296,531,120.00
