page|93
项目|附注五|2020 年度|2019 年度
一、营业总收入||940,327,546.92|1,399,901,826.36
其中：营业收入|(六十一)|940,327,546.92|1,399,901,826.36
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||897,901,830.09|1,339,995,224.55
其中：营业成本|(六十一)|507,069,549.24|817,486,191.80
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|(六十二)|10,040,767.67|16,382,345.25
销售费用|(六十三)|220,718,315.21|331,705,226.05
管理费用|(六十四)|92,654,610.34|102,978,816.63
研发费用|(六十五)|50,966,826.78|53,289,577.40
财务费用|(六十六)|16,451,760.85|18,153,067.42
其中：利息费用||17,467,088.25|19,537,712.93
利息收入||1,649,363.94|1,795,088.94
加：其他收益|(六十七)|17,292,264.41|23,154,937.02
投资收益（损失以“－”号填列）|(六十八)|-8,966,862.24|-2,293,199.24
其中：对联营企业和合营企业的投资收益||-7,908,292.60|-1,991,637.41
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|(七十)|-1,200,909.62|-917,466.95
page|94
信用减值损失（损失以“-”号填列）|(七十一)|-165,678.27|-5,885,038.80
资产减值损失（损失以“-”号填列）|(七十二)|-72,305,545.95|-19,623,159.84
资产处置收益（损失以“－”号填列）|(七十三)|-1,449.53|235,360.00
三、营业利润（亏损以“－”号填列）||-22,922,464.37|54,578,034.00
加：营业外收入|(七十四)|339,921.67|31,515,481.89
减：营业外支出|(七十五)|13,857,741.17|2,018,085.88
四、利润总额（亏损总额以“－”号填列）||-36,440,283.87|84,075,430.01
减：所得税费用|(七十六)|14,525,540.69|22,899,927.99
五、净利润（净亏损以“－”号填列）||-50,965,824.56|61,175,502.02
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-50,965,824.56|61,175,502.02
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-55,832,784.27|55,511,382.91
2.少数股东损益（净亏损以“-”号填列）||4,866,959.71|5,664,119.11
六、其他综合收益的税后净额||-6,328,637.37|2,858,026.29
（一）归属母公司所有者的其他综合收益的税后净额||-6,291,437.37|2,849,726.29
1．不能重分类进损益的其他综合收益||-4,143,292.37|-119,112.89
（1）重新计量设定受益计划变动额||-219,800.00|249,700.00
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-3,923,492.37|-368,812.89
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-2,148,145.00|2,968,839.18
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-2,148,145.00|2,968,839.18
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-37,200.00|8,300.00
七、综合收益总额||-57,294,461.93|64,033,528.31
（一）归属于母公司所有者的综合收益总额||-62,124,221.64|58,361,109.20
（二）归属于少数股东的综合收益总额||4,829,759.71|5,672,419.11
八、每股收益：|(七十八)||
（一）基本每股收益(元/股)||-0.082|0.081
（二）稀释每股收益(元/股)||-0.082|0.081
