page|79
项目|附注|2020 年度|2019 年度
一、营业总收入||16,299,797,475.03|22,082,424,611.53
其中：营业收入||16,299,797,475.03|22,082,424,611.53
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||15,450,285,468.48|20,867,785,921.07
其中：营业成本||15,250,469,639.18|19,863,699,552.98
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||31,958,519.39|45,871,668.51
销售费用||13,435,411.65|354,158,630.50
管理费用||110,798,163.96|67,589,267.99
研发费用||7,888,514.35|9,467,387.55
财务费用||35,735,219.95|526,999,413.54
其中：利息费用||156,189,524.50|509,643,445.30
利息收入||80,063,968.10|129,394,229.72
加：其他收益||9,426,803.13|7,857,479.06
投资收益（损失以“－”号填列）||-43,403,871.01|-7,087,144.11
其中：对联营企业和合营企业的投资收益||11,688,300.53|2,255,384.58
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||26,803,490.00
信用减值损失（损失以“-”号填列）||-4,785,486.21|22,793,222.90
资产减值损失（损失以“-”号填列）||-20,160,164.97|-113,093,358.78
资产处置收益（损失以“－”号填列）||-2,194,433.07|3,568,490.95
三、营业利润（亏损以“－”号填列）||788,394,854.42|1,155,480,870.48
加：营业外收入||1,432,201.38|433,603.08
减：营业外支出||30,105.43|84,057.85
page|80
四、利润总额（亏损总额以“－”号填列）||789,796,950.37|1,155,830,415.71
减：所得税费用||203,859,616.86|354,014,027.46
五、净利润（净亏损以“－”号填列）||585,937,333.51|801,816,388.25
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||585,937,333.51|801,816,388.25
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||559,117,711.02|773,624,541.18
2.少数股东损益（净亏损以“-”号填列）||26,819,622.49|28,191,847.07
六、其他综合收益的税后净额||-250,372.27|11,465.30
（一）归属母公司所有者的其他综合收益的税后净额||-250,372.27|11,465.30
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-250,372.27|11,465.30
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-250,372.27|11,465.30
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||585,686,961.24|801,827,853.55
（一）归属于母公司所有者的综合收益总额||558,867,338.75|773,636,006.48
（二）归属于少数股东的综合收益总额||26,819,622.49|28,191,847.07
八、每股收益：|||
（一）基本每股收益(元/股)||0.1529|0.2115
（二）稀释每股收益(元/股)||0.1529|0.2115
